date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Feb 3 2014,$1.409,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=5&p=MC65,Denis Istomin,Montpellier,Gael Monfils,Denis Istomin,Gael Monfils,Q,69,7,69,73,58,40,58,66,,,,,,,69,40,3,73,60,56,26,,33,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=5&p=MC65
Feb 3 2014,$1.196,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=MC65,Joao Sousa,Montpellier,Gael Monfils,Joao Sousa,Gael Monfils,R16,65,9,67,77,58,38,58,37,,,,,,,71,45,2,62,61,43,22,,0,,,,,,,54,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=MC65
Feb 3 2014,$1.133,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=3&p=MC65,Lukasz Kubot,Montpellier,Gael Monfils,Lukasz Kubot,Gael Monfils,R32,118,11,72,83,36,25,36,25,,,,,,,70,34,9,57,74,54,16,,14,,,,,,,65,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=3&p=MC65
Jan 31 2014,$7.098,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704301,Rafael Nadal,Australian Open Slam,Gael Monfils,Rafael Nadal,Rafael Nadal,Round of 32,124,10,69,57,33,28,33,0,33,57,4,9,190,154,50,27,2,67,72,77,43,67,50,21,18,9,13,182,143,73,50,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704301
Jan 13 2014,$1.126,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704202,Jack Sock,Australian Open Slam,Gael Monfils,Jack Sock,Gael Monfils,Round of 64,123,13,62,84,66,30,66,36,39,30,20,26,187,151,77,40,5,58,70,47,16,,100,34,37,16,29,195,164,60,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704202
Jan 13 2014,$1.147,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704104,Ryan Harrison,Australian Open Slam,Gael Monfils,Ryan Harrison,Gael Monfils,Round of 128,111,9,64,86,64,28,64,75,43,27,18,22,191,150,78,37,2,62,72,49,14,,0,19,23,13,20,195,165,63,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704104
Jan 13 2014,$3.245,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=7&p=N409,Rafael Nadal,Doha,Gael Monfils,Rafael Nadal,Rafael Nadal,F,120,13,72,66,45,26,45,20,,,,,,,60,24,2,76,73,84,33,,45,,,,,,,75,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=7&p=N409
Jan 6 2014,$1.325,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=6&p=MC65,Florian Mayer,Doha,Gael Monfils,Florian Mayer,Gael Monfils,S,55,9,76,76,41,45,41,40,,,,,,,68,50,1,67,54,41,23,,50,,,,,,,50,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=6&p=MC65
Jan 6 2014,$1.543,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=5&p=MC65,Daniel Brands,Doha,Gael Monfils,Daniel Brands,Gael Monfils,Q,49,6,76,84,50,48,50,57,,,,,,,76,54,2,69,51,30,15,,0,,,,,,,45,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=5&p=MC65
Jan 6 2014,$1.636,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=MC65,Richard Gasquet,Doha,Gael Monfils,Richard Gasquet,Gael Monfils,R16,63,9,69,86,50,45,50,57,,,,,,,75,42,0,86,54,75,13,,100,,,,,,,57,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=MC65
