date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jun 16 2013,$1.364,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=4&p=CA12,Marius Copil,s-Hertogenbosch,Jeremy Chardy,Marius Copil,Jeremy Chardy,R16,82,3,59,81,72,21,72,66,,,,,,,77,38,10,59,78,37,18,,0,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=4&p=CA12
Jun 16 2013,$1.283,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=3&p=CA12,Lucas Pouille,s-Hertogenbosch,Jeremy Chardy,Lucas Pouille,Jeremy Chardy,R32,84,14,57,80,57,38,57,36,,,,,,,70,44,7,60,61,45,20,,40,,,,,,,55,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=3&p=CA12
Mar 17 2014,$20.546,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D643,Novak Djokovic,ATP World Tour Masters 1000 Miami,Jeremy Chardy,Novak Djokovic,Novak Djokovic,R64,85,2,51,72,37,29,37,33,,,,,,,55,35,8,67,70,52,28,,100,,,,,,,64,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D643
Mar 17 2014,$1.619,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=1&p=CA12,Juan Monaco,ATP World Tour Masters 1000 Miami,Jeremy Chardy,Juan Monaco,Jeremy Chardy,R128,159,22,53,80,40,36,40,27,,,,,,,61,37,3,71,63,57,19,,21,,,,,,,62,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=1&p=CA12
May 27 2013,$4.290,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224313,Jo-Wilfried Tsonga,French Open Slam,Jeremy Chardy,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Round of 32,102,3,65,73,38,17,38,0,17,34,,,196,168,61,21,6,67,83,71,27,62,50,25,24,,,187,144,79,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224313
Mar 3 2014,$1.922,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=H355,Tommy Haas,ATP World Tour Masters 1000 Indian Wells,Jeremy Chardy,Tommy Haas,Tommy Haas,R64,78,1,58,64,63,25,63,0,,,,,,,64,32,5,59,75,55,35,,50,,,,,,,67,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=H355
May 27 2013,$1.399,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224226,Roberto Bautista Agut,French Open Slam,Jeremy Chardy,Roberto Bautista Agut,Jeremy Chardy,Round of 64,122,11,64,81,49,36,49,50,59,41,,,196,159,69,40,1,79,64,44,19,,0,17,11,,,159,140,60,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224226
May 27 2013,$1.046,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224152,Benjamin Becker,French Open Slam,Jeremy Chardy,Benjamin Becker,Jeremy Chardy,Round of 128,118,10,66,79,59,32,59,45,46,33,,,195,169,72,44,7,66,68,35,21,,20,24,24,,,183,150,56,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224152
Mar 3 2014,$1.471,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=CA12,Rhyne Williams,ATP World Tour Masters 1000 Indian Wells,Jeremy Chardy,Rhyne Williams,Jeremy Chardy,R128,101,13,55,91,62,28,62,40,,,,,,,78,36,13,73,71,43,8,,100,,,,,,,63,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=CA12
Feb 24 2014,$2.556,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=D801,Alexandr Dolgopolov,Acapulco,Jeremy Chardy,Alexandr Dolgopolov,Alexandr Dolgopolov,R16,66,7,47,65,65,7,65,0,,,,,,,65,16,11,58,92,70,34,,25,,,,,,,83,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=D801
Feb 24 2014,$1.434,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=CA12,Matthew Ebden,Acapulco,Jeremy Chardy,Matthew Ebden,Jeremy Chardy,R32,66,7,57,80,68,36,68,80,,,,,,,75,45,2,47,63,45,20,,0,,,,,,,54,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=CA12
May 12 2013,$1.708,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=G710,Marcel Granollers,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Marcel Granollers,Marcel Granollers,R16,131,6,60,74,55,36,55,60,,,,,,,66,40,1,67,63,50,25,,42,,,,,,,59,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=G710
May 12 2013,$3.003,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=CA12,Kei Nishikori,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Kei Nishikori,Jeremy Chardy,R32,70,6,70,75,71,42,71,80,,,,,,,74,48,0,61,57,42,24,,0,,,,,,,51,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=CA12
May 12 2013,$1.632,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=CA12,Feliciano Lopez,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Feliciano Lopez,Jeremy Chardy,R64,153,9,58,82,56,30,56,37,,,,,,,71,39,16,56,69,49,17,,50,,,,,,,60,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=CA12
May 5 2013,$2.394,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=SD32,Gilles Simon,ATP World Tour Masters 1000 Madrid,Jeremy Chardy,Gilles Simon,Gilles Simon,R32,97,4,55,71,40,17,40,50,,,,,,,57,32,6,63,82,41,28,,25,,,,,,,67,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=SD32
Feb 17 2014,$6.948,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=F401,David Ferrer,Rio de Janeiro,Jeremy Chardy,David Ferrer,David Ferrer,R32,68,1,47,64,25,24,25,33,,,,,,,43,36,1,60,75,45,36,,41,,,,,,,63,56,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=F401
Feb 10 2014,$3.176,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=5&p=A479,Nicolas Almagro,Buenos Aires,Jeremy Chardy,Nicolas Almagro,Nicolas Almagro,Q,104,3,71,59,57,31,57,37,,,,,,,59,35,4,64,68,56,40,,100,,,,,,,64,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=5&p=A479
May 5 2013,$1.598,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=CA12,Horacio Zeballos,ATP World Tour Masters 1000 Madrid,Jeremy Chardy,Horacio Zeballos,Jeremy Chardy,R64,91,10,63,87,68,35,68,16,,,,,,,80,35,7,70,64,65,12,,0,,,,,,,64,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=CA12
Apr 22 2013,$4.779,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=MA21,Juan Monaco,Barcelona,Jeremy Chardy,Juan Monaco,Juan Monaco,R16,102,1,57,60,46,37,46,16,,,,,,,54,38,1,76,62,57,40,,57,,,,,,,61,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=MA21
