date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Mar 3 2014,$1.629,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186,Fernando Verdasco,ATP World Tour Masters 1000 Indian Wells,John Isner,Fernando Verdasco,John Isner,R16,112,10,70,74,73,22,73,33,,,,,,,73,29,4,67,77,57,25,,100,,,,,,,70,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186
Mar 3 2014,$1.300,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=I186,Yen-Hsun Lu,ATP World Tour Masters 1000 Indian Wells,John Isner,Yen-Hsun Lu,John Isner,R32,67,13,65,83,63,30,63,40,,,,,,,76,35,0,70,69,53,16,,0,,,,,,,64,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=I186
Mar 3 2014,$1.443,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=I186,Nikolay Davydenko,ATP World Tour Masters 1000 Indian Wells,John Isner,Nikolay Davydenko,John Isner,R64,81,15,64,94,70,30,70,12,,,,,,,85,32,3,62,69,64,5,,0,,,,,,,67,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=I186
Feb 24 2014,$1.522,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=K336,Ivo Karlovic,Acapulco,John Isner,Ivo Karlovic,Ivo Karlovic,R32,99,8,68,82,56,16,56,50,,,,,,,74,16,15,63,83,84,17,,50,,,,,,,83,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=K336
Feb 17 2014,$2.971,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=6&p=C977,Marin Cilic,Delray Beach,John Isner,Marin Cilic,Marin Cilic,S,86,9,72,65,50,15,50,0,,,,,,,61,25,12,57,84,62,34,,14,,,,,,,75,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=6&p=C977
Feb 17 2014,$1.279,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=5&p=I186,Rhyne Williams,Delray Beach,John Isner,Rhyne Williams,John Isner,Q,102,18,63,88,57,34,57,42,,,,,,,77,38,5,68,65,51,11,,50,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=5&p=I186
Feb 17 2014,$1.321,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=I186,Dudi Sela,Delray Beach,John Isner,Dudi Sela,John Isner,R16,116,12,65,68,53,38,53,30,,,,,,,63,41,2,63,61,54,31,,42,,,,,,,58,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=I186
Feb 17 2014,$1.247,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=I186,Michael Russell,Delray Beach,John Isner,Michael Russell,John Isner,R32,114,20,65,81,56,22,56,33,,,,,,,73,29,2,74,77,48,18,,33,,,,,,,70,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=I186
Jan 13 2014,$1.141,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704124,Martin Klizan,Australian Open Slam,John Isner,Martin Klizan,Martin Klizan,Round of 128,82,10,78,69,40,17,40,0,23,23,5,10,187,161,63,18,9,54,83,81,31,60,40,27,10,1,3,176,145,82,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704124
Jan 6 2014,$1.493,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=7&p=I186,Yen-Hsun Lu,Auckland,John Isner,Yen-Hsun Lu,John Isner,F,101,23,73,86,52,27,52,0,,,,,,,77,31,5,66,72,61,13,,0,,,,,,,68,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=7&p=I186
