date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 5 2014,$1.474,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=G725,Santiago Giraldo,ATP World Tour Masters 1000 Madrid,Andy Murray,Santiago Giraldo,Santiago Giraldo,R16,70,6,56,70,42,11,42,0,,,,,,,58,25,3,64,88,47,29,,42,,,,,,,74,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=G725
May 5 2014,$1.922,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=MC10,Nicolas Almagro,ATP World Tour Masters 1000 Madrid,Andy Murray,Nicolas Almagro,Andy Murray,R32,107,5,52,73,52,25,52,66,,,,,,,63,37,8,43,74,53,26,,42,,,,,,,62,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=MC10
May 21 2013,$1.883,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=BA47,Tomas Berdych,ATP World Tour Masters 1000 Madrid,Andy Murray,Tomas Berdych,Tomas Berdych,Q,122,6,56,69,44,31,44,22,,,,,,,58,37,2,56,68,55,30,,42,,,,,,,62,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=BA47
May 5 2013,$1.212,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=MC10,Gilles Simon,ATP World Tour Masters 1000 Madrid,Andy Murray,Gilles Simon,Andy Murray,R16,177,9,50,67,60,40,60,16,,,,,,,63,40,2,60,59,60,32,,57,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=MC10
May 5 2013,$1.128,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=MC10,Florian Mayer,ATP World Tour Masters 1000 Madrid,Andy Murray,Florian Mayer,Andy Murray,R32,124,6,58,76,63,28,63,14,,,,,,,71,35,12,62,71,52,23,,100,,,,,,,64,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=MC10
Apr 4 2014,$1.417,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963103,Fabio Fognini,Davis Cup,Andy Murray,Fabio Fognini,Fabio Fognini,Reverse Singles,139,0,65,66,38,30,38,20,,,,,,,56,28,1,59,70,74,34,62,38,,,,,,,72,44,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963103
Apr 4 2014,$1.213,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963102,Andreas Seppi,Davis Cup,Andy Murray,Andreas Seppi,Andy Murray,Singles,187,8,54,75,51,44,51,32,,,,,,,64,46,0,66,56,52,25,,18,,,,,,,54,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963102
May 5 2013,$1.443,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=W367,Stan Wawrinka,ATP World Tour Masters 1000 Monte Carlo,Andy Murray,Stan Wawrinka,Stan Wawrinka,R16,58,0,57,48,40,19,40,0,,,,,,,44,25,5,65,80,64,51,,50,,,,,,,75,55,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=W367
Apr 15 2013,$1.091,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=MC10,Edouard Roger-Vasselin,ATP World Tour Masters 1000 Monte Carlo,Andy Murray,Edouard Roger-Vasselin,Andy Murray,R32,73,8,54,90,38,45,38,66,,,,,,,66,50,1,66,54,41,9,,20,,,,,,,50,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=MC10
Mar 17 2014,$3.902,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=D643,Novak Djokovic,ATP World Tour Masters 1000 Miami,Andy Murray,Novak Djokovic,Novak Djokovic,Q,90,1,65,64,47,27,47,50,,,,,,,58,31,7,72,72,55,35,,50,,,,,,,68,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=D643
