date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.158,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934156,Martin Klizan,French Open Slam,Kei Nishikori,Martin Klizan,Martin Klizan,Round of 128,117,1,50,67,38,26,38,40,23,40,3,5,177,141,52,34,3,53,74,58,33,62,60,24,27,4,6,176,135,66,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934156
May 12 2014,$7.533,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=7&p=N409,Rafael Nadal,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Rafael Nadal,Rafael Nadal,F,103,2,58,65,48,27,48,50,,,,,,,58,30,4,78,72,58,34,,33,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=7&p=N409
May 12 2014,$2.538,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552,David Ferrer,ATP World Tour Masters 1000 Madrid,Kei Nishikori,David Ferrer,Kei Nishikori,S,176,5,64,70,48,32,48,42,,,,,,,62,32,9,64,67,67,29,,20,,,,,,,67,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552
May 12 2014,$1.162,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552,Feliciano Lopez,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Feliciano Lopez,Kei Nishikori,Q,91,1,56,71,74,29,74,22,,,,,,,72,41,9,75,70,23,28,,0,,,,,,,58,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552
May 12 2014,$1.506,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=N552,Milos Raonic,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Milos Raonic,Kei Nishikori,R16,126,9,65,73,64,23,64,16,,,,,,,70,30,12,61,76,56,26,,14,,,,,,,69,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=N552
May 12 2014,$1.268,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=N552,Guillermo Garcia-Lopez,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Guillermo Garcia-Lopez,Kei Nishikori,R32,65,1,64,71,55,50,55,71,,,,,,,66,53,2,69,50,38,28,,25,,,,,,,46,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=N552
May 12 2014,$1.147,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=N552,Ivan Dodig,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Ivan Dodig,Kei Nishikori,R64,90,2,70,67,66,38,66,75,,,,,,,67,44,5,57,61,48,32,,25,,,,,,,55,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=N552
Aug 26 2013,$1.096,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634156,Daniel Evans,US Open Slam,Kei Nishikori,Daniel Evans,Daniel Evans,Round of 128,117,3,54,64,38,24,38,22,24,38,10,18,168,138,52,37,8,48,76,51,36,63,67,27,32,16,24,185,152,63,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634156
Aug 12 2013,$1.429,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397,Feliciano Lopez,ATP World Tour Masters 1000 Cincinnati,Kei Nishikori,Feliciano Lopez,Feliciano Lopez,R64,92,5,67,69,54,20,54,25,,,,,,,64,30,12,48,79,61,30,,40,,,,,,,70,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397
May 12 2014,$1.264,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=7&p=N552,Santiago Giraldo,Barcelona,Kei Nishikori,Santiago Giraldo,Kei Nishikori,F,73,2,52,75,52,32,52,71,,,,,,,64,54,2,47,68,25,25,,50,,,,,,,45,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=7&p=N552
