p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
70.0,44.0,Dmitry Tursunov,$1.359,Dmitry Tursunov,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,David Ferrer,false,43.0,cluster_1
58.0,37.0,Ryan Harrison,$1.292,David Ferrer,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,David Ferrer,false,44.0,cluster_3
67.0,41.0,Alex Bogomolov Jr.,$1.104,Alex Bogomolov Jr.,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,David Ferrer,false,45.0,cluster_1
54.0,36.0,Nicolas Almagro,$1.357,David Ferrer,Feb 10 2014,Buenos Aires,S,David Ferrer,false,46.0,cluster_3
44.0,33.0,Albert Ramos,$1.139,David Ferrer,Feb 10 2014,Buenos Aires,Q,David Ferrer,false,47.0,cluster_0
50.0,44.0,Santiago Giraldo,$1.146,David Ferrer,Feb 10 2014,Buenos Aires,R16,David Ferrer,false,48.0,cluster_4
55.0,38.0,Maximo Gonzalez,$1.069,David Ferrer,Feb 10 2014,Buenos Aires,R32,David Ferrer,false,49.0,cluster_3
76.0,40.0,Juan Martin del Potro,$1.823,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,David Ferrer,false,50.0,cluster_1
60.0,27.0,Ivan Dodig,$1.376,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 16,David Ferrer,false,51.0,cluster_2
58.0,32.0,Alexandr Dolgopolov,$1.484,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,David Ferrer,false,52.0,cluster_3
61.0,34.0,Roberto Bautista Agut,$1.131,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 64,David Ferrer,false,53.0,cluster_3
61.0,42.0,Tomas Berdych,$2.460,Tomas Berdych,Jan 13 2014,Australian Open Slam,Quarter Final,David Ferrer,false,54.0,cluster_1
52.0,33.0,Florian Mayer,$1.243,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 16,David Ferrer,false,55.0,cluster_3
55.0,30.0,Jeremy Chardy,$1.395,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 32,David Ferrer,false,56.0,cluster_3
60.0,28.0,Martin Alund,$1.007,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 128,David Ferrer,false,57.0,cluster_2
70.0,33.0,Xavier Malisse,$1.236,Xavier Malisse,Jun 16 2013,s-Hertogenbosch,R32,David Ferrer,false,58.0,cluster_1
50.0,37.0,Adrian Mannarino,$1.047,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 64,David Ferrer,false,59.0,cluster_3
47.0,41.0,Alejandro Gonzalez,$1.036,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 128,David Ferrer,false,60.0,cluster_4
63.0,37.0,Yen-Hsun Lu,$1.190,Yen-Hsun Lu,Jan 6 2014,Auckland,S,David Ferrer,false,61.0,cluster_1
