player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Tommy Haas,Nicolas Almagro,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$2.428,$1.653,-0.01,0.08,1,2
Lleyton Hewitt,John Isner,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,$2.933,$1.479,-0.93,0,10,0
Milos Raonic,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$2.197,$1.780,0.2,-0.08,1,1
Milos Raonic,Marin Cilic,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.852,$2.096,0,0,0,0
Stan Wawrinka,Roger Federer,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$4.432,$1.264,-0.09,0,1,0
Stan Wawrinka,Lleyton Hewitt,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.306,$3.984,0,-0.14,0,1
Feliciano Lopez,Ernests Gulbis,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,$2.403,$1.664,0,0.09,0,2
Tomas Berdych,Kevin Anderson,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,$1.229,$4.915,0,-0.4,0,7
Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$2.791,$1.518,0.41,0,4,0
Marin Cilic,John Isner,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.598,$2.557,-0.01,0.21,1,2
Grigor Dimitrov,Andy Murray,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$8.550,$1.111,-0.79,0.06,6,7
Richard Gasquet,Andy Murray,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$4.205,$1.283,0,0.25,0,1
Richard Gasquet,Nicolas Almagro,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.845,$2.106,0,0,0,0
Richard Gasquet,Mikhail Youzhny,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.272,$4.328,1.02,-0.87,11,9
Tommy Haas,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$2.881,$1.493,0,0,0,0
Tommy Haas,Gilles Simon,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,$1.571,$2.628,0,-0.12,0,2
Tommy Haas,Alexandr Dolgopolov,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.735,$2.270,0,0.27,0,1
Lleyton Hewitt,Gilles Simon,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,$2.709,$1.544,0,0.24,0,1
Andy Murray,Andreas Seppi,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.065,$12.872,0.2,-0.23,1,1
Kei Nishikori,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$3.668,$1.592,0,0.14,0,1
Roberto Bautista Agut,Novak Djokovic,Novak Djokovic,Mar 18 2013,Dubai,R16,$31.619,$1.024,0,0.01,0,1
Nicolas Almagro,John Isner,John Isner,Apr 8 2013,Houston,F,$1.279,$4.247,-0.12,0,1,0
