tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Tomas Berdych,Kenny De Schepper,Tomas Berdych,Round of 64,102,5,64,88,63,38,63,63,29,13,21,25,188,152,79,49,8,63,62,32,12,,0,29,32,14,25,185,169,51,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704217
Rotterdam,Tomas Berdych,Marin Cilic,Tomas Berdych,F,76,9,55,82,69,25,69,75,,,,,,,76,40,8,53,75,41,17,,0,,,,,,,59,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=7&p=BA47
ATP World Tour Masters 1000 Miami,Tomas Berdych,Alejandro Falla,Tomas Berdych,R32,142,12,60,77,41,19,41,100,,,,,,,63,33,7,58,80,47,22,,37,,,,,,,66,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Miami,Tomas Berdych,Richard Gasquet,Richard Gasquet,Q,75,5,52,80,39,14,39,0,,,,,,,60,30,2,56,85,50,20,,75,,,,,,,70,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=5&p=G628
ATP World Tour Masters 1000 Monte Carlo,Tomas Berdych,Marcel Granollers,Tomas Berdych,R32,104,3,56,80,35,33,35,62,,,,,,,60,45,0,54,66,40,19,,100,,,,,,,54,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=BA47
Barcelona,Tomas Berdych,Nikolay Davydenko,Tomas Berdych,R32,150,9,57,66,39,44,39,31,,,,,,,55,43,3,73,55,59,33,,41,,,,,,,56,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=BA47
Dubai,Tomas Berdych,Jo-Wilfried Tsonga,Tomas Berdych,Q,88,3,62,75,62,17,62,28,,,,,,,70,37,5,47,82,43,25,,0,,,,,,,62,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=BA47
Dubai,Tomas Berdych,Philipp Kohlschreiber,Tomas Berdych,S,89,5,60,82,56,30,56,42,,,,,,,71,34,1,52,69,60,17,,100,,,,,,,65,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=BA47
ATP World Tour Masters 1000 Miami,Tomas Berdych,Sam Querrey,Tomas Berdych,R16,51,4,82,71,71,38,71,62,,,,,,,71,54,5,39,61,35,28,,0,,,,,,,45,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=BA47
ATP World Tour Masters 1000 Monte Carlo,Tomas Berdych,Fabio Fognini,Fabio Fognini,R16,79,2,50,59,43,21,43,16,,,,,,,51,32,3,60,78,52,40,,36,,,,,,,67,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=F510
