tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Doha,Alexandr Dolgopolov,David Ferrer,David Ferrer,R32,124,2,64,58,42,36,57,44,,,,,,,53,40,2,71,63,50,41,,54,,,,,,,59,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=F401
Australian Open Slam,Alexandr Dolgopolov,Jeremy Chardy,Jeremy Chardy,Round of 64,211,15,71,70,47,23,54,33,43,36,19,24,171,136,63,35,22,60,77,46,30,53,36,76,73,24,38,197,165,65,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704223
Wimbledon Slam,Alexandr Dolgopolov,Gastao Elias,Alexandr Dolgopolov,Round of 128,80,7,64,81,70,41,30,50,38,17,,,,,77,44,0,43,59,53,19,,50,14,20,,,,,56,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604120
Sydney,Alexandr Dolgopolov,Jerzy Janowicz,Alexandr Dolgopolov,R16,57,3,66,88,69,33,30,40,,,,,,,82,50,4,58,66,26,11,,0,,,,,,,50,17,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=D801
Sydney,Alexandr Dolgopolov,Edouard Roger-Vasselin,Alexandr Dolgopolov,R32,29,6,65,86,87,41,12,33,,,,,,,86,42,2,65,58,55,13,,0,,,,,,,57,13,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=3&p=D801
Beijing,Alexandr Dolgopolov,Guillermo Garcia-Lopez,Alexandr Dolgopolov,R32,69,2,41,88,68,29,32,36,,,,,,,76,50,3,54,70,25,11,,0,,,,,,,50,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2012&r=3&p=D801
Kuala Lumpur,Alexandr Dolgopolov,Alejandro Falla,Alejandro Falla,R16,92,5,59,69,44,35,55,37,,,,,,,59,38,3,65,65,56,30,,57,,,,,,,61,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2012&r=4&p=F444
French Open Slam,Alexandr Dolgopolov,Albert Ramos,Alexandr Dolgopolov,Round of 128,130,10,59,84,50,39,50,44,67,25,20,25,,,70,45,3,57,61,48,16,,14,17,18,9,20,,,55,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934153
Vina del Mar,Alexandr Dolgopolov,Daniel Gimeno-Traver,Daniel Gimeno-Traver,R32,126,7,51,73,69,19,30,50,,,,,,,71,32,8,59,80,48,26,,33,,,,,,,67,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=3&p=G676
Sydney,Alexandr Dolgopolov,Bernard Tomic,Bernard Tomic,Q,66,10,60,73,27,33,72,50,,,,,,,55,33,7,68,66,66,26,,40,,,,,,,66,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=5&p=TA46
