tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Madrid,Jerzy Janowicz,Ernests Gulbis,Ernests Gulbis,R64,136,11,67,74,39,24,60,28,,,,,,,63,34,18,57,75,52,25,,42,,,,,,,65,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G858
Australian Open Slam,Jerzy Janowicz,Jordan Thompson,Jerzy Janowicz,Round of 128,196,18,64,72,46,27,54,56,62,64,31,46,196,165,62,40,13,60,73,40,28,,30,40,36,18,28,186,152,60,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704144
French Open Slam,Jerzy Janowicz,Stan Wawrinka,Stan Wawrinka,Round of 32,162,6,61,73,44,23,38,20,37,46,,,183,155,61,29,9,58,77,62,28,56,36,48,29,,,189,159,71,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224307
Poznan,Jerzy Janowicz,Piotr Gadomski,Jerzy Janowicz,R32,86,5,74,83,41,21,58,28,,,,,,,72,33,7,65,78,44,16,,50,,,,,,,66,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=3&p=J397
Wimbledon Slam,Jerzy Janowicz,Lukasz Kubot,Jerzy Janowicz,Quarter Final,127,30,68,90,36,23,64,30,58,14,,,202,173,73,36,9,57,77,47,10,,0,32,11,,,197,170,64,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604503
Wimbledon Slam,Jerzy Janowicz,Andy Murray,Andy Murray,Semi Final,172,9,55,75,47,24,29,14,43,43,,,205,173,62,26,20,70,76,71,25,53,38,49,15,,,188,133,74,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604602
Australian Open Slam,Jerzy Janowicz,Pablo Andujar,Jerzy Janowicz,Round of 64,205,15,67,71,48,36,52,27,63,47,11,18,194,166,64,35,11,79,64,67,29,,27,57,28,17,26,171,144,65,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704222
Poznan,Jerzy Janowicz,Arnau Brugues-Davi,Jerzy Janowicz,Q,51,11,75,100,88,44,11,100,,,,,,,97,40,0,66,55,66,0,,0,,,,,,,59,2,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=5&p=J397
US Open Slam,Jerzy Janowicz,Maximo Gonzalez,Maximo Gonzalez,Round of 128,135,3,58,63,37,25,61,20,28,53,16,25,175,143,52,38,9,65,75,39,38,63,38,27,24,12,20,167,133,62,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634141
Poznan,Jerzy Janowicz,Andreas Haider-Maurer,Jerzy Janowicz,S,126,11,57,76,65,28,34,22,,,,,,,72,34,14,64,71,54,23,,16,,,,,,,65,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=6&p=J397
