tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Olympics ATP,Lleyton Hewitt,Novak Djokovic,Novak Djokovic,Round of 16,116,5,60,74,45,20,45,50,,,,,,,63,32,16,65,80,47,26,55,57,,,,,,,68,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=175774308
Stockholm,Lleyton Hewitt,Jarkko Nieminen,Lleyton Hewitt,R16,139,9,53,73,33,43,33,62,,,,,,,54,45,5,67,56,50,26,,85,,,,,,,54,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2012&r=4&p=H432
Stockholm,Lleyton Hewitt,Nicolas Almagro,Nicolas Almagro,Q,67,4,50,61,38,23,38,25,,,,,,,50,33,11,48,76,56,38,,66,,,,,,,66,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2012&r=5&p=A479
Australian Open Slam,Lleyton Hewitt,Janko Tipsarevic,Janko Tipsarevic,Round of 128,182,5,49,68,43,22,43,60,40,48,,,169,137,55,34,14,60,78,49,32,57,38,47,38,,,187,144,66,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954132
Valencia,Lleyton Hewitt,Juan Monaco,Lleyton Hewitt,R32,102,5,58,69,43,52,43,41,,,,,,,58,51,2,72,47,50,30,,60,,,,,,,48,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=3&p=H432
US Open Slam,Lleyton Hewitt,Tobias Kamke,Lleyton Hewitt,Round of 128,,6,47,75,47,37,47,53,29,52,,,167,138,60,48,4,47,63,43,25,,31,30,55,,,180,143,52,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114146
San Jose,Lleyton Hewitt,Sam Querrey,Sam Querrey,R16,135,10,61,74,59,25,59,30,,,,,,,68,33,20,61,74,53,25,,33,,,,,,,66,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=4&p=Q927
Valencia,Lleyton Hewitt,Ivan Dodig,Ivan Dodig,R16,124,2,48,68,35,22,35,40,,,,,,,51,36,10,56,77,45,31,,62,,,,,,,63,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=D646
US Open Slam,Lleyton Hewitt,David Ferrer,David Ferrer,Round of 32,,8,54,73,39,18,39,40,36,72,,,170,136,57,29,10,55,82,57,28,61,31,37,43,,,180,146,71,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114312
ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Joao Sousa,Lleyton Hewitt,R128,107,11,46,70,47,41,47,71,,,,,,,57,53,1,60,58,29,29,,27,,,,,,,46,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=1&p=H432
ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Lukas Rosol,Lleyton Hewitt,R128,95,3,55,68,55,41,55,33,,,,,,,62,44,5,59,58,51,31,,40,,,,,,,55,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=1&p=H432
Memphis,Lleyton Hewitt,Yen-Hsun Lu,Lleyton Hewitt,R32,141,9,53,69,45,37,45,44,,,,,,,58,45,7,66,62,41,30,,50,,,,,,,55,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=H432
Memphis,Lleyton Hewitt,Denis Istomin,Denis Istomin,R16,59,2,48,61,27,27,27,0,,,,,,,44,32,7,56,72,60,38,,66,,,,,,,67,55,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=I165
ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,John Isner,Lleyton Hewitt,R64,143,3,52,71,66,27,66,22,,,,,,,69,33,18,59,72,59,28,,0,,,,,,,66,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=H432
ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Stan Wawrinka,Stan Wawrinka,R32,84,1,48,72,45,23,45,25,,,,,,,58,27,5,51,76,67,27,,42,,,,,,,72,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=W367
US Open Slam,Lleyton Hewitt,Gilles Muller,Lleyton Hewitt,Round of 64,,18,42,79,57,15,57,33,60,30,,,168,143,66,31,35,59,85,47,21,,18,95,69,,,193,160,69,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114223
