tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Bangkok,Roberto Bautista Agut,Marco Chiudinelli,Roberto Bautista Agut,R32,111,4,70,68,62,27,37,25,,,,,,,66,38,6,62,72,43,31,,33,,,,,,,61,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=3&p=BD06
Chennai,Roberto Bautista Agut,Alexander Kudryavtsev,Alexander Kudryavtsev,R32,107,1,61,77,39,28,60,50,,,,,,,62,33,0,58,71,60,22,,42,,,,,,,66,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2014&r=3&p=K596
Auckland,Roberto Bautista Agut,Daniel Gimeno-Traver,Roberto Bautista Agut,R32,96,1,71,75,54,34,45,50,,,,,,,69,42,1,52,65,48,24,,50,,,,,,,57,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=3&p=BD06
Valencia,Roberto Bautista Agut,Dmitry Tursunov,Dmitry Tursunov,R16,105,0,69,60,47,23,52,33,,,,,,,56,37,11,59,76,40,39,,37,,,,,,,62,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=T315
Auckland,Roberto Bautista Agut,Benoit Paire,Roberto Bautista Agut,R16,66,1,79,68,76,27,23,75,,,,,,,69,42,9,53,72,40,32,,33,,,,,,,57,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=4&p=BD06
Auckland,Roberto Bautista Agut,Jack Sock,Roberto Bautista Agut,Q,63,1,74,75,57,30,42,50,,,,,,,70,48,4,60,70,25,24,,0,,,,,,,52,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=5&p=BD06
ATP World Tour Masters 1000 Miami,Roberto Bautista Agut,Jerzy Janowicz,Roberto Bautista Agut,R64,70,3,65,75,63,48,36,60,,,,,,,70,48,1,59,51,52,25,,0,,,,,,,51,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=BD06
ATP World Tour Masters 1000 Miami,Roberto Bautista Agut,Fabio Fognini,Fabio Fognini,R32,121,3,70,60,55,22,44,50,,,,,,,58,34,6,54,77,51,40,,57,,,,,,,65,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F510
Marseille,Roberto Bautista Agut,Ernests Gulbis,Ernests Gulbis,R16,135,3,71,74,44,21,55,16,,,,,,,65,32,23,70,78,41,25,,22,,,,,,,67,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=4&p=G858
ATP World Tour Masters 1000 Monte Carlo,Roberto Bautista Agut,Fabio Fognini,Fabio Fognini,R32,104,0,72,58,30,34,70,100,,,,,,,50,45,2,55,65,41,41,,85,,,,,,,54,49,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F510
