tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
St. Petersburg,Fabio Fognini,Michal Przysiezny,Michal Przysiezny,R16,64,2,50,57,57,12,42,0,,,,,,,57,17,5,71,87,69,42,,25,,,,,,,82,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=568&y=2013&r=4&p=P701
Buenos Aires,Fabio Fognini,Tommy Robredo,Fabio Fognini,S,119,2,64,67,45,36,54,38,,,,,,,59,40,3,69,63,48,32,,66,,,,,,,59,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=6&p=F510
Buenos Aires,Fabio Fognini,David Ferrer,David Ferrer,F,74,2,65,70,27,33,72,100,,,,,,,55,31,0,72,66,73,29,,60,,,,,,,68,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=7&p=F401
Rio de Janeiro,Fabio Fognini,Aljaz Bedene,Fabio Fognini,R32,119,3,51,63,34,45,65,75,,,,,,,49,50,7,42,54,45,36,,60,,,,,,,49,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=F510
Rio de Janeiro,Fabio Fognini,Pablo Cuevas,Fabio Fognini,R16,120,2,63,71,62,25,37,100,,,,,,,68,28,1,65,74,66,28,,66,,,,,,,71,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=F510
Rio de Janeiro,Fabio Fognini,Alexandr Dolgopolov,Alexandr Dolgopolov,Q,67,2,64,45,30,17,70,16,,,,,,,40,35,12,51,82,46,54,,85,,,,,,,64,59,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=D801
ATP World Tour Masters 1000 Indian Wells,Fabio Fognini,Ryan Harrison,Fabio Fognini,R64,126,7,67,63,57,30,42,45,,,,,,,61,41,9,56,69,42,36,,30,,,,,,,58,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F510
ATP World Tour Masters 1000 Indian Wells,Fabio Fognini,Gael Monfils,Fabio Fognini,R32,110,1,48,66,50,37,50,53,,,,,,,58,50,8,51,62,36,33,,45,,,,,,,50,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F510
French Open Slam,Fabio Fognini,Andreas Beck,Fabio Fognini,Round of 128,138,10,64,64,63,38,37,38,39,22,,,,,64,44,4,55,62,50,36,,8,34,39,,,,,56,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224120
French Open Slam,Fabio Fognini,Lukas Rosol,Fabio Fognini,Round of 64,128,7,74,74,59,29,41,36,34,36,,,171,140,70,43,8,57,71,39,26,,33,37,51,,,198,152,57,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224210
French Open Slam,Fabio Fognini,Rafael Nadal,Rafael Nadal,Round of 32,165,3,67,55,60,36,39,27,47,59,,,175,144,57,37,5,78,64,61,45,40,28,24,40,,,174,135,63,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224305
Munich,Fabio Fognini,Martin Klizan,Martin Klizan,F,89,4,66,62,45,28,55,42,,,,,,,56,40,5,56,71,43,37,,100,,,,,,,59,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=7&p=K966
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Roberto Bautista Agut,Fabio Fognini,R32,104,2,55,65,41,41,58,85,,,,,,,54,49,0,72,58,30,34,,100,,,,,,,50,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F510
Barcelona,Fabio Fognini,Santiago Giraldo,Santiago Giraldo,R32,38,0,59,31,18,18,81,0,,,,,,,25,26,2,73,81,50,68,,83,,,,,,,73,74,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=G725
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,R16,116,1,68,58,37,26,62,30,,,,,,,52,36,6,56,73,51,41,,75,,,,,,,63,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=T786
Munich,Fabio Fognini,Dustin Brown,Fabio Fognini,R16,65,2,68,72,64,35,35,57,,,,,,,70,44,4,66,64,37,27,,66,,,,,,,55,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=4&p=F510
Munich,Fabio Fognini,Thomaz Bellucci,Fabio Fognini,Q,69,2,72,56,58,53,41,77,,,,,,,56,60,5,73,46,20,43,,75,,,,,,,39,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=5&p=F510
Munich,Fabio Fognini,Jan-Lennard Struff,Fabio Fognini,S,63,2,68,75,60,38,40,36,,,,,,,70,49,0,64,61,31,24,,0,,,,,,,50,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=6&p=F510
Wimbledon Slam,Fabio Fognini,Jurgen Melzer,Jurgen Melzer,Round of 128,150,3,66,60,47,31,45,33,49,33,,,165,138,55,35,8,69,69,55,40,53,53,45,29,,,173,151,65,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604145
ATP World Tour Masters 1000 Madrid,Fabio Fognini,Alexandr Dolgopolov,Alexandr Dolgopolov,R64,125,2,66,69,50,20,50,42,,,,,,,63,31,7,51,80,55,30,,57,,,,,,,68,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=D801
