tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Feliciano Lopez,Andy Murray,Andy Murray,Round of 32,135,8,57,70,47,14,52,100,31,44,26,37,193,155,60,27,6,64,86,48,30,53,36,29,30,11,18,174,135,73,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704305
French Open Slam,Feliciano Lopez,Damir Dzumhur,Feliciano Lopez,Round of 128,153,8,62,73,59,33,41,33,37,45,27,35,,,68,36,1,64,67,57,27,,14,27,45,11,23,,,64,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934120
ATP World Tour Masters 1000 Madrid,Feliciano Lopez,Daniel Gimeno-Traver,Daniel Gimeno-Traver,R64,109,5,58,76,41,27,58,33,,,,,,,61,35,9,64,72,50,24,,42,,,,,,,64,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=G676
ATP World Tour Masters 1000 Indian Wells,Feliciano Lopez,Ernests Gulbis,Ernests Gulbis,R128,73,1,54,58,41,16,58,20,,,,,,,50,30,8,56,83,52,41,,57,,,,,,,69,49,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=1&p=G858
Eastbourne,Feliciano Lopez,Juan Monaco,Feliciano Lopez,R16,70,6,62,84,39,35,60,50,,,,,,,67,42,3,52,64,50,15,,50,,,,,,,57,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=4&p=L397
ATP World Tour Masters 1000 Rome,Feliciano Lopez,Jeremy Chardy,Jeremy Chardy,R64,153,16,56,69,49,17,50,50,,,,,,,60,28,9,58,82,56,30,,37,,,,,,,71,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=CA12
London / Queen's Club,Feliciano Lopez,Ricardas Berankis,Feliciano Lopez,R64,95,13,58,77,62,23,37,33,,,,,,,71,33,9,63,76,50,22,,33,,,,,,,66,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=2&p=L397
London / Queen's Club,Feliciano Lopez,Marin Cilic,Marin Cilic,R16,143,13,62,76,51,28,48,30,,,,,,,67,33,18,55,71,61,23,,33,,,,,,,66,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=C977
London / Queen's Club,Feliciano Lopez,Julien Benneteau,Feliciano Lopez,R32,79,19,65,94,75,28,25,20,,,,,,,87,31,12,60,71,65,5,,0,,,,,,,68,12,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=L397
Eastbourne,Feliciano Lopez,Jarkko Nieminen,Feliciano Lopez,R32,86,16,69,84,53,28,46,0,,,,,,,75,27,2,67,72,75,15,,0,,,,,,,72,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=3&p=L397
Eastbourne,Feliciano Lopez,Gilles Simon,Feliciano Lopez,F,168,16,56,72,62,38,38,19,,,,,,,68,41,4,62,61,54,27,,16,,,,,,,58,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=7&p=L397
Eastbourne,Feliciano Lopez,Ivan Dodig,Feliciano Lopez,S,65,4,60,78,86,18,13,66,,,,,,,81,32,3,55,81,50,21,,0,,,,,,,67,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=6&p=L397
Eastbourne,Feliciano Lopez,Fernando Verdasco,Feliciano Lopez,Q,77,14,72,87,55,25,44,50,,,,,,,78,29,5,66,74,63,12,,0,,,,,,,70,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=5&p=L397
Hamburg,Feliciano Lopez,Jan-Lennard Struff,Feliciano Lopez,R32,89,12,53,75,50,41,50,57,,,,,,,63,49,1,58,58,39,24,,33,,,,,,,50,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=L397
Hamburg,Feliciano Lopez,Florian Mayer,Florian Mayer,R16,88,2,64,58,52,27,47,33,,,,,,,56,30,4,50,72,65,41,,42,,,,,,,69,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=MB02
