matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Canada,Kei Nishikori,Andreas Seppi,Kei Nishikori,R32,127,3,3,57,73,58,33,58,40,,,,,,,3,6,55,66,46,26,46,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Canada,Richard Gasquet,Kei Nishikori,Richard Gasquet,R16,117,5,5,52,66,51,25,51,50,,,,,,,5,3,57,74,40,33,40,27,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=G628
,ATP World Tour Masters 1000 Cincinnati,Feliciano Lopez,Kei Nishikori,Feliciano Lopez,R64,92,12,1,48,79,61,30,61,40,,,,,,,5,2,67,69,54,20,54,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397
,Australian Open Slam,Kei Nishikori,Victor Hanescu,Kei Nishikori,Round of 128,159,6,5,74,71,56,37,56,44,46,50,,,167,140,6,3,67,63,46,29,46,33,29,38,,,181,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954124
,Australian Open Slam,Kei Nishikori,Carlos Berlocq,Kei Nishikori,Round of 64,138,6,3,69,72,50,40,50,50,47,31,,,167,135,3,6,64,60,36,28,36,60,24,40,,,185,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954212
,Australian Open Slam,Kei Nishikori,Evgeny Donskoy,Kei Nishikori,Round of 32,126,7,1,68,77,65,31,65,57,29,33,,,170,137,5,1,55,69,41,23,41,25,13,37,,,179,145,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954306
,Australian Open Slam,David Ferrer,Kei Nishikori,David Ferrer,Round of 16,130,6,3,68,69,48,47,48,64,24,24,,,177,142,1,3,61,53,32,31,32,15,30,65,,,176,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954403
,French Open Slam,Kei Nishikori,Jesse Levine,Kei Nishikori,Round of 128,91,2,4,51,75,56,53,56,73,26,25,,,166,138,1,5,52,47,29,25,29,33,9,33,,,178,147,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224124
,French Open Slam,Kei Nishikori,Grega Zemlja,Kei Nishikori,Round of 64,151,4,5,63,64,46,39,46,48,43,56,,,166,132,5,5,48,61,34,36,34,60,24,47,,,184,147,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224212
,French Open Slam,Kei Nishikori,Benoit Paire,Kei Nishikori,Round of 32,161,1,5,63,71,52,32,52,42,27,34,,,166,135,6,9,43,68,46,29,46,44,36,64,,,185,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224306
,French Open Slam,Rafael Nadal,Kei Nishikori,Rafael Nadal,Round of 16,122,1,0,69,72,67,47,67,63,20,25,,,176,139,0,1,65,53,56,28,56,0,14,39,,,169,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224403
,Wimbledon Slam,Kei Nishikori,Matthew Ebden,Kei Nishikori,Round of 128,101,1,2,67,69,70,32,70,55,32,14,,,,,8,6,61,68,32,31,32,50,20,25,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604125
,Wimbledon Slam,Kei Nishikori,Leonardo Mayer,Kei Nishikori,Round of 64,142,2,5,67,72,54,36,54,42,29,20,,,165,138,5,5,65,64,41,28,41,40,27,28,,,185,165,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604213
,Wimbledon Slam,Andreas Seppi,Kei Nishikori,Andreas Seppi,Round of 32,184,9,1,60,70,55,36,55,50,44,28,,,,,3,6,69,64,51,30,51,27,44,45,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604307
,Tokyo,Kei Nishikori,Feliciano Lopez,Kei Nishikori,R16,69,3,4,57,80,47,36,47,50,,,,,,,6,3,52,63,29,19,29,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=N552
,Tokyo,Nicolas Almagro,Kei Nishikori,Nicolas Almagro,Q,134,15,1,58,73,50,30,50,83,,,,,,,5,2,55,69,50,26,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=5&p=A479
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Grigor Dimitrov,Kei Nishikori,R64,82,1,1,58,71,69,14,69,42,,,,,,,8,7,52,85,28,28,28,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Jurgen Melzer,Kei Nishikori,R32,108,4,4,72,75,43,33,43,44,,,,,,,3,2,60,66,43,25,43,22,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Shanghai,Jo-Wilfried Tsonga,Kei Nishikori,Jo-Wilfried Tsonga,R16,90,13,0,62,90,57,42,57,44,,,,,,,1,0,63,57,46,9,46,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=T786
,Basel,Kei Nishikori,Marco Chiudinelli,Kei Nishikori,R32,92,5,4,58,68,48,38,48,33,,,,,,,1,9,52,61,34,31,34,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=N552
,Basel,Ivan Dodig,Kei Nishikori,Ivan Dodig,R16,57,4,1,43,84,72,43,72,40,,,,,,,1,3,67,56,33,15,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=4&p=D646
