p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
37.0,23.0,Cesar Ramirez,false,$1.026,Nicolas Almagro,Feb 25 2013,Acapulco,R32,48.0,cluster_2
78.0,32.0,Stan Wawrinka,false,$1.755,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,49.0,cluster_0
76.0,40.0,Juan Martin Del Potro,false,$3.014,Juan Martin Del Potro,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,Q,50.0,cluster_0
70.0,26.0,Tomas Berdych,false,$3.334,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,51.0,cluster_0
65.0,15.0,Federico Delbonis,false,$1.244,Nicolas Almagro,Feb 18 2013,Buenos Aires,Q,52.0,cluster_3
59.0,30.0,Andrey Kuznetsov,false,$1.130,Nicolas Almagro,Feb 18 2013,Buenos Aires,R16,53.0,cluster_4
50.0,25.0,Guido Pella,false,$1.137,Nicolas Almagro,Feb 18 2013,Buenos Aires,R32,54.0,cluster_2
62.0,21.0,Jeremy Chardy,false,$1.417,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,55.0,cluster_3
58.0,16.0,Go Soeda,false,$1.255,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,56.0,cluster_3
75.0,29.0,Juan Martin Del Potro,false,$4.033,Juan Martin Del Potro,Oct 6 2013,Tokyo,S,57.0,cluster_0
70.0,28.0,David Nalbandian,false,$1.349,David Nalbandian,Feb 11 2013,Sao Paulo,Q,58.0,cluster_0
58.0,31.0,Paul Capdeville,false,$1.138,Nicolas Almagro,Feb 11 2013,Sao Paulo,R16,59.0,cluster_4
60.0,36.0,Kei Nishikori,false,$2.691,Nicolas Almagro,Sep 30 2013,Tokyo,Q,60.0,cluster_1
57.0,14.0,Horacio Zeballos,false,$1.192,Nicolas Almagro,Sep 30 2013,Tokyo,R16,61.0,cluster_3
67.0,12.0,Benjamin Becker,false,$1.589,Nicolas Almagro,Sep 30 2013,Tokyo,R32,62.0,cluster_3
65.0,41.0,David Ferrer,false,$5.608,David Ferrer,Feb 1 2013,Australian Open Slam,Quarter Final,63.0,cluster_1
64.0,45.0,Adrian Mannarino,false,$1.464,Adrian Mannarino,Sep 30 2013,Kuala Lumpur,R16,64.0,cluster_1
68.0,44.0,Denis Istomin,false,$1.528,Denis Istomin,Sep 23 2013,US Open Slam,Round of 128,65.0,cluster_1
67.0,37.0,Grigor Dimitrov,false,$1.860,Grigor Dimitrov,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,66.0,cluster_0
46.0,26.0,Janko Tipsarevic,false,$1.775,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 16,67.0,cluster_2
69.0,20.0,Jerzy Janowicz,false,$1.406,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 32,68.0,cluster_3
64.0,40.0,Radek Stepanek,false,$1.695,Radek Stepanek,Aug 12 2013,ATP World Tour Masters 1000 Canada,R64,69.0,cluster_1
63.0,43.0,Fabio Fognini,false,$1.773,Fabio Fognini,Aug 5 2013,Hamburg,S,70.0,cluster_1
54.0,31.0,Daniel Gimeno-Traver,false,$1.096,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 64,71.0,cluster_4
62.0,27.0,Steve Johnson,false,$1.184,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 128,72.0,cluster_4
53.0,41.0,Juan Monaco,false,$1.513,Nicolas Almagro,Jul 15 2013,Hamburg,Q,73.0,cluster_1
54.0,26.0,Guillermo Garcia-Lopez,false,$1.224,Nicolas Almagro,Jul 15 2013,Hamburg,R16,74.0,cluster_4
76.0,27.0,Jo-Wilfried Tsonga,false,$5.111,Jo-Wilfried Tsonga,Nov 16 2012,ATP World Tour Masters 1000 Paris,R16,75.0,cluster_0
61.0,30.0,Albert Ramos,false,$1.277,Nicolas Almagro,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,76.0,cluster_4
50.0,19.0,Tobias Kamke,false,$1.192,Nicolas Almagro,Jul 15 2013,Hamburg,R32,77.0,cluster_2
60.0,42.0,Fernando Verdasco,false,$1.724,Fernando Verdasco,Jul 15 2013,Bastad,Q,78.0,cluster_1
74.0,34.0,David Ferrer,false,$3.710,David Ferrer,Oct 29 2012,Valencia,Q,79.0,cluster_0
59.0,29.0,Sam Querrey,false,$2.076,Nicolas Almagro,Oct 21 2012,Valencia,R16,80.0,cluster_4
46.0,45.0,Guillermo Garcia-Lopez,false,$1.261,Nicolas Almagro,Jul 8 2013,Bastad,R16,81.0,cluster_1
78.0,38.0,Jerzy Janowicz,false,$2.169,Jerzy Janowicz,Jul 8 2013,Wimbledon Slam,Round of 32,82.0,cluster_0
53.0,41.0,Juan Carlos Ferrero,false,$1.181,Nicolas Almagro,Oct 21 2012,Valencia,R32,83.0,cluster_1
70.0,42.0,Tomas Berdych,false,$4.350,Tomas Berdych,Oct 21 2012,Stockholm,S,84.0,cluster_0
