p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
60.0,27.0,Ivan Dodig,false,$1.376,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 16,42.0,cluster_4
58.0,32.0,Alexandr Dolgopolov,false,$1.484,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,43.0,cluster_4
61.0,34.0,Roberto Bautista Agut,false,$1.131,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 64,44.0,cluster_1
61.0,42.0,Tomas Berdych,false,$2.460,Tomas Berdych,Jan 13 2014,Australian Open Slam,Quarter Final,45.0,cluster_1
52.0,33.0,Florian Mayer,false,$1.243,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 16,46.0,cluster_4
55.0,30.0,Jeremy Chardy,false,$1.395,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 32,47.0,cluster_4
60.0,28.0,Martin Alund,false,$1.007,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 128,48.0,cluster_4
70.0,33.0,Xavier Malisse,false,$1.236,Xavier Malisse,Jun 16 2013,s-Hertogenbosch,R32,49.0,cluster_2
50.0,37.0,Adrian Mannarino,false,$1.047,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 64,50.0,cluster_0
47.0,41.0,Alejandro Gonzalez,false,$1.036,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 128,51.0,cluster_0
63.0,37.0,Yen-Hsun Lu,false,$1.190,Yen-Hsun Lu,Jan 6 2014,Auckland,S,52.0,cluster_1
62.0,54.0,Rafael Nadal,false,$8.377,Rafael Nadal,May 27 2013,French Open Slam,Final,53.0,cluster_3
52.0,34.0,Jo-Wilfried Tsonga,false,$1.682,David Ferrer,May 27 2013,French Open Slam,Semi Final,54.0,cluster_4
62.0,38.0,Guillermo Garcia-Lopez,false,$1.168,David Ferrer,Jan 6 2014,Auckland,Q,55.0,cluster_1
52.0,38.0,Donald Young,false,$1.126,David Ferrer,Jan 6 2014,Auckland,R16,56.0,cluster_0
75.0,39.0,Daniel Brands,false,$1.171,Daniel Brands,Dec 30 2013,Doha,R16,57.0,cluster_2
53.0,40.0,Alexandr Dolgopolov,false,$1.220,David Ferrer,Dec 30 2013,Doha,R32,58.0,cluster_0
46.0,24.0,Tommy Robredo,false,$1.085,David Ferrer,May 27 2013,French Open Slam,Quarter Final,59.0,cluster_4
48.0,27.0,Kevin Anderson,false,$1.170,David Ferrer,May 27 2013,French Open Slam,Round of 16,60.0,cluster_4
49.0,33.0,Feliciano Lopez,false,$1.055,David Ferrer,May 27 2013,French Open Slam,Round of 32,61.0,cluster_4
43.0,36.0,Albert Montanes,false,$1.046,David Ferrer,May 27 2013,French Open Slam,Round of 64,62.0,cluster_0
45.0,42.0,Marinko Matosevic,false,$1.016,David Ferrer,May 27 2013,French Open Slam,Round of 128,63.0,cluster_0
56.0,45.0,Rafael Nadal,false,$6.520,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,64.0,cluster_3
68.0,43.0,Novak Djokovic,false,$6.134,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,F,65.0,cluster_2
59.0,32.0,Rafael Nadal,false,$6.609,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,S,66.0,cluster_1
62.0,37.0,Fernando Verdasco,false,$1.192,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,67.0,cluster_1
55.0,52.0,Rafael Nadal,false,$7.855,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,68.0,cluster_3
64.0,28.0,Tommy Haas,false,$1.404,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,69.0,cluster_1
62.0,34.0,Tomas Berdych,false,$1.976,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,Q,70.0,cluster_1
55.0,28.0,Gilles Simon,false,$1.373,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,71.0,cluster_4
50.0,42.0,Lukas Rosol,false,$1.165,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,72.0,cluster_0
58.0,19.0,Denis Istomin,false,$1.072,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,73.0,cluster_4
85.0,41.0,Stan Wawrinka,false,$1.467,Stan Wawrinka,Apr 29 2013,Oeiras,F,74.0,cluster_2
50.0,32.0,Andreas Seppi,false,$1.219,David Ferrer,Apr 29 2013,Oeiras,S,75.0,cluster_4
59.0,35.0,Victor Hanescu,false,$1.102,David Ferrer,Apr 29 2013,Oeiras,Q,76.0,cluster_1
64.0,42.0,Mikhail Youzhny,false,$1.310,Mikhail Youzhny,Oct 21 2013,Valencia,F,77.0,cluster_1
62.0,33.0,Edouard Roger-Vasselin,false,$1.089,David Ferrer,Apr 29 2013,Oeiras,R16,78.0,cluster_1
55.0,50.0,Dmitry Tursunov,false,$1.030,Dmitry Tursunov,Apr 22 2013,Barcelona,R32,79.0,cluster_3
50.0,51.0,Andy Murray,false,$3.810,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,F,80.0,cluster_3
53.0,39.0,Tommy Haas,false,$1.493,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,81.0,cluster_0
48.0,43.0,Jurgen Melzer,false,$1.127,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,82.0,cluster_0
