p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
49.0,17.0,Fabio Fognini,$1.013,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 16,Novak Djokovic,false,41.0,cluster_1
39.0,20.0,David Goffin,$1.030,Novak Djokovic,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Novak Djokovic,false,42.0,cluster_1
50.0,29.0,Juan Monaco,$1.036,Novak Djokovic,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Novak Djokovic,false,43.0,cluster_2
67.0,34.0,Rafael Nadal,$1.453,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Novak Djokovic,false,44.0,cluster_0
59.0,26.0,Denis Istomin,$1.015,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 32,Novak Djokovic,false,45.0,cluster_0
53.0,21.0,Leonardo Mayer,$1.005,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 64,Novak Djokovic,false,46.0,cluster_1
48.0,20.0,Richard Gasquet,$1.150,Novak Djokovic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Novak Djokovic,false,47.0,cluster_1
61.0,35.0,Denis Istomin,$1.033,Novak Djokovic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Novak Djokovic,false,48.0,cluster_0
47.0,33.0,Florian Mayer,$1.043,Novak Djokovic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Novak Djokovic,false,49.0,cluster_2
58.0,22.0,Lukas Lacko,$1.005,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 128,Novak Djokovic,false,50.0,cluster_1
63.0,25.0,Tomas Berdych,$1.087,Novak Djokovic,Dec 26 2013,Davis Cup,Reverse Singles,Novak Djokovic,false,51.0,cluster_0
56.0,29.0,Radek Stepanek,$1.018,Novak Djokovic,Nov 15 2013,Davis Cup,Singles,Novak Djokovic,false,52.0,cluster_2
65.0,31.0,Juan Martin del Potro,$1.155,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,Novak Djokovic,false,53.0,cluster_0
61.0,29.0,Tomas Berdych,$1.121,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Quarter Final,Novak Djokovic,false,54.0,cluster_0
55.0,31.0,Rafael Nadal,$1.592,Novak Djokovic,Nov 15 2013,Barclays ATP World Tour Finals,F,Novak Djokovic,false,55.0,cluster_2
51.0,26.0,Stan Wawrinka,$1.190,Novak Djokovic,Nov 4 2013,Barclays ATP World Tour Finals,S,Novak Djokovic,false,56.0,cluster_2
53.0,31.0,Tommy Haas,$1.141,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,Novak Djokovic,false,57.0,cluster_2
53.0,10.0,Jeremy Chardy,$1.033,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 32,Novak Djokovic,false,58.0,cluster_1
56.0,16.0,Bobby Reynolds,$1.011,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 64,Novak Djokovic,false,59.0,cluster_1
56.0,31.0,David Ferrer,$1.171,Novak Djokovic,Nov 4 2013,ATP World Tour Masters 1000 Paris,F,Novak Djokovic,false,60.0,cluster_2
61.0,23.0,Florian Mayer,$1.013,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 128,Novak Djokovic,false,61.0,cluster_0
58.0,34.0,Roger Federer,$1.308,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,S,Novak Djokovic,false,62.0,cluster_0
54.0,31.0,Stan Wawrinka,$1.188,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,Q,Novak Djokovic,false,63.0,cluster_2
68.0,39.0,Rafael Nadal,$2.582,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Novak Djokovic,false,64.0,cluster_0
57.0,19.0,Tommy Haas,$1.110,Novak Djokovic,May 27 2013,French Open Slam,Quarter Final,Novak Djokovic,false,65.0,cluster_1
56.0,19.0,John Isner,$1.171,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Novak Djokovic,false,66.0,cluster_1
61.0,21.0,Pierre-Hugues Herbert,$1.036,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Novak Djokovic,false,67.0,cluster_0
66.0,33.0,Philipp Kohlschreiber,$1.052,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,Novak Djokovic,false,68.0,cluster_0
50.0,27.0,Grigor Dimitrov,$1.093,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,Novak Djokovic,false,69.0,cluster_2
61.0,28.0,Juan Martin Del Potro,$1.378,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Shanghai,F,Novak Djokovic,false,70.0,cluster_0
48.0,35.0,Jo-Wilfried Tsonga,$1.189,Novak Djokovic,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,S,Novak Djokovic,false,71.0,cluster_2
59.0,30.0,Gael Monfils,$1.093,Novak Djokovic,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,Q,Novak Djokovic,false,72.0,cluster_0
46.0,29.0,Guido Pella,$1.008,Novak Djokovic,May 27 2013,French Open Slam,Round of 64,Novak Djokovic,false,73.0,cluster_2
63.0,28.0,David Goffin,$1.014,Novak Djokovic,May 27 2013,French Open Slam,Round of 128,Novak Djokovic,false,74.0,cluster_0
55.0,21.0,Fabio Fognini,$1.085,Novak Djokovic,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,Novak Djokovic,false,75.0,cluster_1
63.0,35.0,Tomas Berdych,$1.188,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Novak Djokovic,false,76.0,cluster_0
57.0,27.0,Alexandr Dolgopolov,$1.079,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Novak Djokovic,false,77.0,cluster_0
50.0,26.0,Albert Montanes,$1.058,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Novak Djokovic,false,78.0,cluster_2
63.0,36.0,Grigor Dimitrov,$1.072,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Novak Djokovic,false,79.0,cluster_0
48.0,37.0,Rafael Nadal,$2.996,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,F,Novak Djokovic,false,80.0,cluster_2
45.0,20.0,Fabio Fognini,$1.168,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,S,Novak Djokovic,false,81.0,cluster_1
46.0,40.0,Jarkko Nieminen,$1.151,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Novak Djokovic,false,82.0,cluster_2
48.0,42.0,Juan Monaco,$1.127,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Novak Djokovic,false,83.0,cluster_2
53.0,36.0,Mikhail Youzhny,$1.089,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Novak Djokovic,false,84.0,cluster_2
57.0,28.0,Somdev Devvarman,$1.008,Novak Djokovic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Novak Djokovic,false,85.0,cluster_0
41.0,27.0,Lukas Rosol,$1.015,Novak Djokovic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Novak Djokovic,false,86.0,cluster_2
58.0,41.0,Juan Martin Del Potro,$1.183,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Novak Djokovic,false,87.0,cluster_0
