p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
55.0,22.0,Paolo Lorenzi,$1.577,Jeremy Chardy,Feb 4 2013,Vina del Mar,Q,Jeremy Chardy,false,41.0,cluster_6
66.0,31.0,Christian Garin,$1.127,Jeremy Chardy,Feb 4 2013,Vina del Mar,R16,Jeremy Chardy,false,42.0,cluster_8
64.0,53.0,Andy Murray,$12.323,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,Jeremy Chardy,false,43.0,cluster_4
70.0,45.0,David Ferrer,$3.334,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 32,Jeremy Chardy,false,44.0,cluster_5
63.0,35.0,Alexandr Dolgopolov,$2.260,Jeremy Chardy,Jan 13 2014,Australian Open Slam,Round of 64,Jeremy Chardy,false,45.0,cluster_8
63.0,30.0,Jesse Huta Galung,$1.164,Jeremy Chardy,Jan 13 2014,Australian Open Slam,Round of 128,Jeremy Chardy,false,46.0,cluster_1
72.0,33.0,Roger Federer,$10.735,Roger Federer,Dec 30 2013,Brisbane,S,Jeremy Chardy,false,47.0,cluster_0
57.0,34.0,Andreas Seppi,$2.590,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,Jeremy Chardy,false,48.0,cluster_1
60.0,23.0,Nicolas Mahut,$1.860,Jeremy Chardy,Dec 30 2013,Brisbane,R16,Jeremy Chardy,false,49.0,cluster_7
66.0,33.0,Juan Martin del Potro,$16.225,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 32,Jeremy Chardy,false,50.0,cluster_8
60.0,29.0,Marcel Granollers,$2.188,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 64,Jeremy Chardy,false,51.0,cluster_1
57.0,31.0,Adrian Menendez-Maceiras,$1.305,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 128,Jeremy Chardy,false,52.0,cluster_1
70.0,37.0,Feliciano Lopez,$1.995,Feliciano Lopez,Jan 7 2013,Sydney,R32,Jeremy Chardy,false,53.0,cluster_8
54.0,35.0,Adrian Mannarino,$1.563,Jeremy Chardy,Dec 30 2013,Brisbane,R32,Jeremy Chardy,false,54.0,cluster_9
64.0,40.0,Lukas Rosol,$1.521,Lukas Rosol,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,Jeremy Chardy,false,55.0,cluster_3
68.0,43.0,Dmitry Tursunov,$2.347,Dmitry Tursunov,Oct 21 2013,Valencia,Q,Jeremy Chardy,false,56.0,cluster_5
75.0,32.0,Daniel Brands,$1.573,Daniel Brands,Dec 31 2012,Doha,R32,Jeremy Chardy,false,57.0,cluster_0
78.0,26.0,Milos Raonic,$3.284,Milos Raonic,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Jeremy Chardy,false,58.0,cluster_0
69.0,25.0,John Isner,$3.151,Jeremy Chardy,Oct 21 2013,Valencia,R16,Jeremy Chardy,false,59.0,cluster_0
66.0,32.0,Florian Mayer,$2.259,Jeremy Chardy,Oct 21 2013,Valencia,R32,Jeremy Chardy,false,60.0,cluster_8
64.0,34.0,Ernests Gulbis,$3.911,Ernests Gulbis,Oct 14 2013,Stockholm,R32,Jeremy Chardy,false,61.0,cluster_8
48.0,26.0,Guillermo Garcia-Lopez,$1.681,Jeremy Chardy,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,Jeremy Chardy,false,62.0,cluster_6
71.0,43.0,Alexandr Dolgopolov,$2.391,Alexandr Dolgopolov,Oct 22 2012,ATP World Tour Masters 1000 Shanghai,R64,Jeremy Chardy,false,63.0,cluster_5
78.0,37.0,Nicolas Almagro,$3.212,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Jeremy Chardy,false,64.0,cluster_2
60.0,34.0,Bernard Tomic,$2.832,Jeremy Chardy,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Jeremy Chardy,false,65.0,cluster_1
74.0,26.0,Stan Wawrinka,$3.172,Stan Wawrinka,Oct 22 2012,Tokyo,R16,Jeremy Chardy,false,66.0,cluster_0
59.0,22.0,Yuichi Sugita,$1.300,Jeremy Chardy,Oct 1 2012,Tokyo,R32,Jeremy Chardy,false,67.0,cluster_7
64.0,36.0,Marco Chiudinelli,$1.556,Jeremy Chardy,Sep 30 2013,Tokyo,R32,Jeremy Chardy,false,68.0,cluster_8
70.0,38.0,Martin Klizan,$1.677,Martin Klizan,Oct 1 2012,US Open Slam,Round of 32,Jeremy Chardy,false,69.0,cluster_8
54.0,28.0,Matthew Ebden,$1.376,Jeremy Chardy,Aug 27 2012,US Open Slam,Round of 64,Jeremy Chardy,false,70.0,cluster_6
69.0,37.0,Marton Fucsovics,$1.226,Marton Fucsovics,Sep 16 2013,Metz,R32,Jeremy Chardy,false,71.0,cluster_8
63.0,49.0,Julien Benneteau,$2.666,Julien Benneteau,Aug 26 2013,US Open Slam,Round of 64,Jeremy Chardy,false,72.0,cluster_4
60.0,20.0,Filippo Volandri,$1.051,Jeremy Chardy,Aug 27 2012,US Open Slam,Round of 128,Jeremy Chardy,false,73.0,cluster_7
