p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
59.0,32.0,Emilio Gomez,false,$1.069,Kevin Anderson,Jul 15 2013,Bogota,R16,77.0,cluster_3
65.0,36.0,Tomas Berdych,false,$5.287,Tomas Berdych,Jul 15 2013,Wimbledon Slam,Round of 32,81.0,cluster_3
69.0,21.0,Ryan Harrison,false,$1.373,Kevin Anderson,Jul 22 2013,Atlanta,S,69.0,cluster_4
68.0,30.0,Denis Istomin,false,$1.409,Kevin Anderson,Jul 22 2013,Atlanta,Q,70.0,cluster_4
62.0,19.0,Matthew Ebden,false,$1.245,Kevin Anderson,Jul 22 2013,Atlanta,R16,73.0,cluster_1
75.0,26.0,Ivo Karlovic,false,$1.401,Ivo Karlovic,Jul 22 2013,Bogota,S,74.0,cluster_4
58.0,24.0,Mardy Fish,false,$1.669,Kevin Anderson,Jul 29 2013,Washington,R16,61.0,cluster_1
63.0,25.0,James Duckworth,false,$1.229,Kevin Anderson,Jul 29 2013,Washington,R32,65.0,cluster_1
71.0,25.0,John Isner,false,$1.939,John Isner,Jul 29 2013,Atlanta,F,66.0,cluster_4
73.0,39.0,Juan Martin Del Potro,false,$3.902,Juan Martin Del Potro,Aug 5 2013,Washington,Q,60.0,cluster_0
61.0,46.0,Alexandr Dolgopolov,false,$1.424,Alexandr Dolgopolov,Aug 12 2013,ATP World Tour Masters 1000 Canada,R64,56.0,cluster_3
66.0,29.0,Daniel Brands,false,$1.262,Kevin Anderson,Aug 26 2013,US Open Slam,Round of 128,54.0,cluster_4
78.0,29.0,Tommy Haas,false,$2.004,Tommy Haas,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,55.0,cluster_4
76.0,47.0,Marcos Baghdatis,false,$1.404,Marcos Baghdatis,Sep 30 2013,US Open Slam,Round of 64,51.0,cluster_0
71.0,24.0,Victor Hanescu,false,$1.254,Kevin Anderson,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,49.0,cluster_4
70.0,31.0,Lukas Lacko,false,$1.300,Lukas Lacko,Oct 6 2013,Tokyo,R32,50.0,cluster_4
74.0,35.0,Stan Wawrinka,false,$3.323,Stan Wawrinka,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R32,46.0,cluster_0
66.0,29.0,Kenny De Schepper,false,$1.246,Kenny De Schepper,Oct 21 2013,Stockholm,R16,45.0,cluster_4
67.0,41.0,Roger Federer,false,$5.989,Roger Federer,Dec 30 2013,ATP World Tour Masters 1000 Paris,R32,38.0,cluster_0
59.0,32.0,Mikhail Youzhny,false,$2.727,Kevin Anderson,Dec 30 2013,ATP World Tour Masters 1000 Paris,R64,41.0,cluster_3
65.0,32.0,Roberto Bautista Agut,false,$1.759,Roberto Bautista Agut,Dec 30 2013,Valencia,R32,42.0,cluster_3
70.0,29.0,Steve Johnson,false,$1.384,Steve Johnson,Jan 6 2014,Auckland,R16,37.0,cluster_4
76.0,44.0,Tomas Berdych,false,$6.753,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 16,30.0,cluster_0
65.0,32.0,Edouard Roger-Vasselin,false,$1.564,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 32,33.0,cluster_3
66.0,24.0,Dominic Thiem,false,$1.452,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 64,34.0,cluster_4
69.0,29.0,Jiri Vesely,false,$1.340,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 128,35.0,cluster_4
65.0,38.0,Marin Cilic,false,$3.571,Marin Cilic,Feb 17 2014,Delray Beach,F,21.0,cluster_3
