p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
54.0,31.0,Sam Querrey,false,$1.685,Grigor Dimitrov,Jul 29 2013,Washington,R16,44.0,cluster_1
71.0,21.0,Xavier Malisse,false,$1.443,Grigor Dimitrov,Jul 29 2013,Washington,R32,45.0,cluster_4
66.0,40.0,Marcel Granollers,false,$1.246,Marcel Granollers,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,42.0,cluster_2
64.0,39.0,Rafael Nadal,false,$6.217,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,39.0,cluster_2
47.0,28.0,Brian Baker,false,$1.262,Grigor Dimitrov,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,40.0,cluster_1
62.0,32.0,Nicolas Almagro,false,$2.086,Grigor Dimitrov,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,41.0,cluster_4
62.0,42.0,Joao Sousa,false,$1.072,Joao Sousa,Aug 26 2013,US Open Slam,Round of 128,38.0,cluster_0
77.0,43.0,Roberto Bautista Agut,false,$1.663,Roberto Bautista Agut,Sep 30 2013,Beijing,R32,37.0,cluster_2
70.0,41.0,Kei Nishikori,false,$2.269,Kei Nishikori,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,36.0,cluster_2
60.0,40.0,David Ferrer,false,$2.480,Grigor Dimitrov,Oct 14 2013,Stockholm,F,31.0,cluster_0
58.0,32.0,Benoit Paire,false,$1.571,Grigor Dimitrov,Oct 14 2013,Stockholm,S,32.0,cluster_0
56.0,16.0,Kenny De Schepper,false,$1.202,Grigor Dimitrov,Oct 14 2013,Stockholm,Q,33.0,cluster_1
50.0,21.0,Jan-Lennard Struff,false,$1.215,Grigor Dimitrov,Oct 14 2013,Stockholm,R16,34.0,cluster_1
57.0,33.0,Marius Copil,false,$1.421,Grigor Dimitrov,Oct 14 2013,Stockholm,R32,35.0,cluster_0
70.0,40.0,Roger Federer,false,$2.996,Roger Federer,Oct 21 2013,Basel,Q,28.0,cluster_2
54.0,19.0,Alexandr Dolgopolov,false,$1.452,Grigor Dimitrov,Oct 21 2013,Basel,R16,29.0,cluster_1
50.0,29.0,Radek Stepanek,false,$2.014,Grigor Dimitrov,Oct 21 2013,Basel,R32,30.0,cluster_1
73.0,30.0,Juan Martin Del Potro,false,$3.538,Juan Martin Del Potro,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,25.0,cluster_3
47.0,42.0,Fabio Fognini,false,$1.388,Grigor Dimitrov,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,26.0,cluster_0
62.0,23.0,Michael Llodra,false,$1.636,Grigor Dimitrov,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,27.0,cluster_4
72.0,33.0,Marin Cilic,false,$1.669,Marin Cilic,Dec 30 2013,Brisbane,R16,23.0,cluster_3
57.0,16.0,Robin Haase,false,$1.310,Grigor Dimitrov,Dec 30 2013,Brisbane,R32,24.0,cluster_1
71.0,38.0,Rafael Nadal,false,$6.575,Rafael Nadal,Jan 13 2014,Australian Open Slam,Quarter Final,18.0,cluster_2
65.0,30.0,Roberto Bautista Agut,false,$1.630,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 16,19.0,cluster_4
68.0,20.0,Milos Raonic,false,$2.125,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 32,20.0,cluster_4
