p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
60.0,22.0,Alexandr Dolgopolov,false,$1.116,Rafael Nadal,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,12.0,cluster_4
61.0,19.0,Marcel Granollers,false,$1.105,Rafael Nadal,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,4.0,cluster_4
67.0,40.0,David Ferrer,false,$1.155,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,S,84.0,cluster_3
68.0,44.0,Novak Djokovic,false,$2.571,Novak Djokovic,Nov 4 2013,Barclays ATP World Tour Finals,F,74.0,cluster_3
59.0,26.0,Roger Federer,false,$1.340,Rafael Nadal,Nov 4 2013,Barclays ATP World Tour Finals,S,79.0,cluster_2
60.0,24.0,Gael Monfils,false,$1.411,Rafael Nadal,Dec 30 2013,Doha,F,61.0,cluster_2
54.0,36.0,Peter Gojowczyk,false,$1.018,Rafael Nadal,Dec 30 2013,Doha,S,62.0,cluster_1
59.0,36.0,Ernests Gulbis,false,$1.237,Rafael Nadal,Dec 30 2013,Doha,Q,67.0,cluster_2
62.0,29.0,Tobias Kamke,false,$1.042,Rafael Nadal,Dec 30 2013,Doha,R16,68.0,cluster_2
54.0,35.0,Lukas Rosol,false,$1.058,Rafael Nadal,Dec 30 2013,Doha,R32,73.0,cluster_1
71.0,44.0,Stan Wawrinka,false,$1.175,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Final,48.0,cluster_3
60.0,27.0,Roger Federer,false,$1.654,Rafael Nadal,Jan 13 2014,Australian Open Slam,Semi Final,49.0,cluster_2
62.0,29.0,Grigor Dimitrov,false,$1.114,Rafael Nadal,Jan 13 2014,Australian Open Slam,Quarter Final,52.0,cluster_2
58.0,35.0,Kei Nishikori,false,$1.029,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 16,53.0,cluster_2
50.0,27.0,Gael Monfils,false,$1.100,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 32,54.0,cluster_0
55.0,24.0,Thanasi Kokkinakis,false,$1.018,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 64,56.0,cluster_4
64.0,23.0,Bernard Tomic,false,$1.065,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 128,57.0,cluster_4
58.0,29.0,Alexandr Dolgopolov,false,$1.183,Rafael Nadal,Feb 17 2014,Rio de Janeiro,F,35.0,cluster_2
65.0,38.0,Pablo Andujar,false,$1.028,Rafael Nadal,Feb 17 2014,Rio de Janeiro,S,36.0,cluster_3
42.0,34.0,Joao Sousa,false,$1.018,Rafael Nadal,Feb 17 2014,Rio de Janeiro,Q,40.0,cluster_0
40.0,39.0,Albert Montanes,false,$1.036,Rafael Nadal,Feb 17 2014,Rio de Janeiro,R16,44.0,cluster_0
57.0,27.0,Daniel Gimeno-Traver,false,$1.040,Rafael Nadal,Feb 17 2014,Rio de Janeiro,R32,47.0,cluster_2
59.0,35.0,Alexandr Dolgopolov,false,$1.129,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,30.0,cluster_2
60.0,32.0,Radek Stepanek,false,$1.057,Rafael Nadal,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,31.0,cluster_2
77.0,44.0,Novak Djokovic,false,$2.279,Novak Djokovic,Mar 17 2014,ATP World Tour Masters 1000 Miami,F,19.0,cluster_3
59.0,29.0,Milos Raonic,false,$1.145,Rafael Nadal,Mar 17 2014,ATP World Tour Masters 1000 Miami,Q,20.0,cluster_2
54.0,8.0,Fabio Fognini,false,$1.061,Rafael Nadal,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,24.0,cluster_4
36.0,25.0,Denis Istomin,false,$1.061,Rafael Nadal,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,25.0,cluster_0
52.0,17.0,Lleyton Hewitt,false,$1.072,Rafael Nadal,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,29.0,cluster_4
58.0,46.0,David Ferrer,false,$1.106,David Ferrer,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,Q,9.0,cluster_1
44.0,31.0,Andreas Seppi,false,$1.014,Rafael Nadal,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,13.0,cluster_0
38.0,34.0,Teymuraz Gabashvili,false,$1.004,Rafael Nadal,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,14.0,cluster_0
56.0,37.0,Nicolas Almagro,false,$1.143,Nicolas Almagro,Apr 21 2014,Barcelona,Q,6.0,cluster_1
52.0,29.0,Ivan Dodig,false,$1.043,Rafael Nadal,Apr 21 2014,Barcelona,R16,7.0,cluster_2
55.0,32.0,Albert Ramos,false,$1.030,Rafael Nadal,Apr 21 2014,Barcelona,R32,8.0,cluster_2
58.0,27.0,Tomas Berdych,false,$1.165,Rafael Nadal,May 5 2014,ATP World Tour Masters 1000 Madrid,Q,1.0,cluster_2
48.0,35.0,Jarkko Nieminen,false,$1.021,Rafael Nadal,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,2.0,cluster_1
28.0,34.0,Juan Monaco,false,$1.051,Rafael Nadal,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,3.0,cluster_0
