p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
65.0,33.0,Kei Nishikori,false,$2.350,Mikhail Youzhny,Jun 10 2013,Halle,R16,43.0,cluster_0
43.0,20.0,Daniel Gimeno-Traver,false,$1.119,Mikhail Youzhny,Jun 10 2013,Halle,R32,44.0,cluster_2
60.0,28.0,Viktor Troicki,false,$1.657,Mikhail Youzhny,Jun 24 2013,Wimbledon Slam,Round of 32,37.0,cluster_0
68.0,29.0,Vasek Pospisil,false,$1.142,Mikhail Youzhny,Jun 24 2013,Wimbledon Slam,Round of 64,38.0,cluster_0
62.0,24.0,Robin Haase,false,$1.155,Mikhail Youzhny,Jun 24 2013,Wimbledon Slam,Round of 128,39.0,cluster_0
66.0,44.0,Andy Murray,false,$11.256,Andy Murray,Jul 15 2013,Wimbledon Slam,Round of 16,36.0,cluster_3
56.0,33.0,Victor Hanescu,false,$1.653,Mikhail Youzhny,Jul 22 2013,Gstaad,S,31.0,cluster_4
59.0,42.0,Juan Monaco,false,$2.752,Mikhail Youzhny,Jul 22 2013,Gstaad,Q,32.0,cluster_3
54.0,35.0,Pablo Andujar,false,$1.602,Mikhail Youzhny,Jul 22 2013,Gstaad,R16,33.0,cluster_4
58.0,29.0,Paul-Henri Mathieu,false,$1.464,Mikhail Youzhny,Jul 22 2013,Gstaad,R32,34.0,cluster_0
61.0,47.0,Guillermo Garcia-Lopez,false,$1.685,Guillermo Garcia-Lopez,Jul 22 2013,Hamburg,R32,35.0,cluster_3
59.0,27.0,Jurgen Melzer,false,$1.245,Mikhail Youzhny,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,29.0,cluster_0
62.0,23.0,Robin Haase,false,$1.484,Mikhail Youzhny,Aug 5 2013,Gstaad,F,30.0,cluster_0
65.0,26.0,Ernests Gulbis,false,$2.494,Mikhail Youzhny,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,27.0,cluster_0
83.0,33.0,Milos Raonic,false,$2.331,Milos Raonic,Aug 12 2013,ATP World Tour Masters 1000 Canada,R32,28.0,cluster_1
58.0,42.0,Lleyton Hewitt,false,$1.594,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 16,22.0,cluster_4
57.0,36.0,Tommy Haas,false,$2.762,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 32,23.0,cluster_4
53.0,35.0,Alexandr Dolgopolov,false,$1.646,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 64,24.0,cluster_4
62.0,24.0,Nicolas Mahut,false,$1.214,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 128,25.0,cluster_0
