winner,loser,winner_market_odds,loser_market_odds,winnings,
Tomas Berdych,David Ferrer,1.554,2.46,-1,CHECK
Tomas Berdych,Jerzy Janowicz,1.366,3.51,-1,
Tommy Haas,Mikhail Youzhny,1.823,2.135,-1,CHECK
Tommy Haas,Feliciano Lopez,1.515,2.801,-1,
Tommy Haas,Kei Nishikori,2.828,1.507,-1,
Tommy Haas,Jeremy Chardy,2.014,1.922,-1,
Tommy Haas,Stan Wawrinka,5.821,1.183,-1,
Tommy Robredo,Nicolas Almagro,5.047,1.221,-1,
Tommy Robredo,Andreas Seppi,1.592,2.571,-1,
Novak Djokovic,Fabio Fognini,1.013,15.802,0.013,
Rafael Nadal,Andreas Seppi,1.014,32.211,0.014,
Rafael Nadal,Fabio Fognini,1.015,31.008,0.015,
Rafael Nadal,Kei Nishikori,1.029,12.817,0.029,
Novak Djokovic,Jeremy Chardy,1.033,20.546,0.033,
Rafael Nadal,Gilles Simon,1.036,19.367,0.036,
Novak Djokovic,Mikhail Youzhny,1.04,17,0.04,
Roger Federer,Gilles Simon,1.055,14.4,0.055,
Rafael Nadal,Roberto Bautista Agut,1.058,13.912,0.058,
Rafael Nadal,Fabio Fognini,1.065,12.872,0.065,
Rafael Nadal,Philipp Kohlschreiber,1.068,12.462,0.068,
Rafael Nadal,Mikhail Youzhny,1.076,11.442,0.076,
Andy Murray,Mikhail Youzhny,1.077,11.256,0.077,
Novak Djokovic,Fabio Fognini,1.085,10.46,0.085,
Novak Djokovic,Tomas Berdych,1.087,10.342,0.087,
Novak Djokovic,Grigor Dimitrov,1.093,9.817,0.093,
Rafael Nadal,Gael Monfils,1.1,7.098,0.1,
Novak Djokovic,Richard Gasquet,1.109,8.672,0.109,
Tomas Berdych,Kevin Anderson,1.109,6.753,0.109,
Andy Murray,Grigor Dimitrov,1.111,8.55,0.111,
Rafael Nadal,Grigor Dimitrov,1.114,6.575,0.114,
Rafael Nadal,Kei Nishikori,1.131,7.533,0.131,
David Ferrer,Andreas Seppi,1.135,7.365,0.135,
David Ferrer,Jeremy Chardy,1.145,6.948,0.145,
Rafael Nadal,Milos Raonic,1.145,6.958,0.145,
Tomas Berdych,Philipp Kohlschreiber,1.152,6.716,0.152,
Andy Murray,Gilles Simon,1.155,6.609,0.155,
Gilles Simon,Lleyton Hewitt,1.155,6.612,0.155,
Novak Djokovic,Juan Martin del Potro,1.155,6.625,0.155,
Rafael Nadal,David Ferrer,1.158,6.52,0.158,
Novak Djokovic,Milos Raonic,1.16,6.453,0.16,
Kei Nishikori,Feliciano Lopez,1.162,6.402,0.162,
Rafael Nadal,Tomas Berdych,1.165,6.296,0.165,
Rafael Nadal,Grigor Dimitrov,1.168,6.217,0.168,
Novak Djokovic,David Ferrer,1.171,6.134,0.171,
Roger Federer,Kevin Anderson,1.176,5.989,0.176,
David Ferrer,Roberto Bautista Agut,1.177,5.965,0.177,
Rafael Nadal,Jerzy Janowicz,1.18,5.894,0.18,
Roger Federer,Andreas Seppi,1.182,5.857,0.182,
Rafael Nadal,Alexandr Dolgopolov,1.183,5.821,0.183,
Novak Djokovic,Stan Wawrinka,1.19,5.658,0.19,
Novak Djokovic,Marin Cilic,1.198,5.489,0.198,
Tomas Berdych,Kevin Anderson,1.199,5.459,0.199,
Rafael Nadal,Richard Gasquet,1.202,5.407,0.202,
Rafael Nadal,Stan Wawrinka,1.206,5.327,0.206,
Tomas Berdych,Kevin Anderson,1.208,5.287,0.208,
Andy Murray,Gilles Simon,1.212,5.209,0.212,
Roger Federer,Kevin Anderson,1.212,5.209,0.212,
Andy Murray,Andreas Seppi,1.213,5.201,0.213,
Andy Murray,Feliciano Lopez,1.214,5.17,0.214,
Andy Murray,Mikhail Youzhny,1.215,5.147,0.215,
Stan Wawrinka,Andreas Seppi,1.216,5.132,0.216,
Novak Djokovic,John Isner,1.219,5.085,0.219,
David Ferrer,Alexandr Dolgopolov,1.22,5.059,0.22,
Andy Murray,Marin Cilic,1.224,4.996,0.224,
Roger Federer,Philipp Kohlschreiber,1.248,4.632,0.248,
Richard Gasquet,Mikhail Youzhny,1.272,4.328,0.272,
Juan Martin Del Potro,Tommy Haas,1.279,4.247,0.279,
Roger Federer,Jo-Wilfried Tsonga,1.292,4.118,0.292,
David Ferrer,Feliciano Lopez,1.314,3.909,0.314,
Juan Martin Del Potro,Kevin Anderson,1.315,3.902,0.315,
Rafael Nadal,Roger Federer,1.318,3.874,0.318,
Milos Raonic,Jeremy Chardy,1.34,3.693,0.34,
Rafael Nadal,Roger Federer,1.34,3.693,0.34,
Marin Cilic,Tommy Robredo,1.341,3.689,0.341,
Rafael Nadal,Tomas Berdych,1.343,3.668,0.343,
Tomas Berdych,Jerzy Janowicz,1.351,3.611,0.351,
David Ferrer,Nicolas Almagro,1.357,3.571,0.357,
Marin Cilic,Kevin Anderson,1.357,3.571,0.357,
Milos Raonic,Jeremy Chardy,1.359,3.555,0.359,
Juan Martin Del Potro,Grigor Dimitrov,1.362,3.538,0.362,
Tomas Berdych,Kevin Anderson,1.366,3.51,0.366,
Roger Federer,Tommy Haas,1.367,3.501,0.367,
Novak Djokovic,David Ferrer,1.37,3.486,0.37,
David Ferrer,Gilles Simon,1.373,3.467,0.373,
Tommy Haas,John Isner,1.373,3.467,0.373,
