winner,loser,tournament,winner_market_odds,loser_market_odds,winnings
Philipp Kohlschreiber,Tommy Haas,Valencia,2.364,1.683,-1
Rafael Nadal,Jerzy Janowicz,ATP World Tour Masters 1000 Paris,1.18,5.894,0.18
David Ferrer,Rafael Nadal,ATP World Tour Masters 1000 Paris,6.609,1.155,-1
Kei Nishikori,Jo-Wilfried Tsonga,ATP World Tour Masters 1000 Paris,3.026,1.456,-1
Fernando Verdasco,Ernests Gulbis,ATP World Tour Masters 1000 Paris,2.69,1.55,1.69
Stan Wawrinka,Nicolas Almagro,ATP World Tour Masters 1000 Paris,1.609,2.528,0.609
Stan Wawrinka,Feliciano Lopez,ATP World Tour Masters 1000 Paris,1.359,3.557,-1
Philipp Kohlschreiber,Andreas Seppi,ATP World Tour Masters 1000 Paris,1.799,2.168,-1
Novak Djokovic,David Ferrer,ATP World Tour Masters 1000 Paris,1.171,6.134,0.171
Rafael Nadal,Richard Gasquet,ATP World Tour Masters 1000 Paris,1.202,5.407,0.202
Novak Djokovic,Rafael Nadal,Barclays ATP World Tour Finals,1.592,2.571,0.592
Novak Djokovic,Stan Wawrinka,Barclays ATP World Tour Finals,1.19,5.658,0.19
Novak Djokovic,Tomas Berdych,Davis Cup,1.087,10.342,0.087
Fabio Fognini,Tommy Robredo,ATP World Tour Masters 1000 Shanghai,2.35,1.691,1.35
Fabio Fognini,Tommy Robredo,Beijing,2.983,1.467,1.983
Kei Nishikori,Marin Cilic,Brisbane,2.144,1.816,1.144
Rafael Nadal,Roger Federer,Barclays ATP World Tour Finals,1.34,3.693,0.34
David Ferrer,Alexandr Dolgopolov,Doha,1.22,5.059,0.22
Lleyton Hewitt,Feliciano Lopez,Brisbane,1.55,2.69,-1
Rafael Nadal,Ernests Gulbis,Doha,1.237,4.792,-1
David Ferrer,Gilles Simon,ATP World Tour Masters 1000 Paris,1.373,3.467,0.373
Philipp Kohlschreiber,Tommy Haas,ATP World Tour Masters 1000 Paris,2.322,1.706,-1
David Ferrer,Gael Monfils,Valencia,1.541,2.717,0.541
Gael Monfils,Richard Gasquet,Doha,1.636,2.465,-1
Kevin Anderson,Mikhail Youzhny,ATP World Tour Masters 1000 Paris,2.727,1.538,-1
Stan Wawrinka,Tomas Berdych,Australian Open Slam,1.815,2.145,0.815
Tomas Berdych,David Ferrer,Australian Open Slam,1.554,2.46,-1
Tomas Berdych,Kevin Anderson,Australian Open Slam,1.109,6.753,0.109
David Ferrer,Jeremy Chardy,Australian Open Slam,1.395,3.334,0.395
Jeremy Chardy,Alexandr Dolgopolov,Australian Open Slam,2.26,1.741,-1
Novak Djokovic,Fabio Fognini,Australian Open Slam,1.013,15.802,0.013
Roger Federer,Andy Murray,Australian Open Slam,1.724,2.289,0.724
Roger Federer,Jo-Wilfried Tsonga,Australian Open Slam,1.554,2.46,0.554
Lleyton Hewitt,Roger Federer,Brisbane,6.053,1.174,-1
Andreas Seppi,Lleyton Hewitt,Australian Open Slam,4.206,1.283,3.206
Rafael Nadal,Grigor Dimitrov,Australian Open Slam,1.114,6.575,0.114
Rafael Nadal,Kei Nishikori,Australian Open Slam,1.029,12.817,0.029
Rafael Nadal,Gael Monfils,Australian Open Slam,1.1,7.098,0.1
Grigor Dimitrov,Milos Raonic,Australian Open Slam,2.125,1.726,-1
Stan Wawrinka,Tommy Robredo,Australian Open Slam,1.358,3.191,-1
Stan Wawrinka,Rafael Nadal,Australian Open Slam,6.025,1.175,-1
Stan Wawrinka,Novak Djokovic,Australian Open Slam,7.979,1.081,-1
Roberto Bautista Agut,Juan Martin del Potro,Australian Open Slam,13.033,1.064,12.033
John Isner,Roberto Bautista Agut,Auckland,1.53,2.752,0.53
John Isner,Philipp Kohlschreiber,Auckland,2.245,1.749,1.245
Rafael Nadal,Roger Federer,Australian Open Slam,1.654,2.424,0.654
Fabio Fognini,Nicolas Almagro,Vina del Mar,1.806,2.159,-1
Richard Gasquet,Jerzy Janowicz,Montpellier,1.567,2.639,0.567
Grigor Dimitrov,Roberto Bautista Agut,Australian Open Slam,1.63,2.51,-1
David Ferrer,Nicolas Almagro,Buenos Aires,1.357,3.571,0.357
Nicolas Almagro,Jeremy Chardy,Buenos Aires,1.424,3.176,0.424
Tomas Berdych,Marin Cilic,Rotterdam,1.472,2.962,0.472
Tomas Berdych,Jerzy Janowicz,Rotterdam,1.366,3.51,-1
Jeremy Chardy,Alexandr Dolgopolov,Buenos Aires,1.73,2.279,-1
Marin Cilic,Andy Murray,Rotterdam,2.752,1.53,-1
Marin Cilic,Jo-Wilfried Tsonga,Rotterdam,2.619,1.574,1.619
Ernests Gulbis,Juan Martin Del Potro,Rotterdam,3.447,1.376,-1
Juan Martin Del Potro,Gael Monfils,Rotterdam,1.584,2.593,0.584
Gael Monfils,Richard Gasquet,Montpellier,2.096,1.852,1.096
Tommy Haas,Fernando Verdasco,Rotterdam,1.853,2.095,0.853
Fabio Fognini,Tommy Robredo,Buenos Aires,1.724,2.289,0.724
David Ferrer,Jeremy Chardy,Rio de Janeiro,1.145,6.948,0.145
Marin Cilic,Kevin Anderson,Delray Beach,1.357,3.571,0.357
Marin Cilic,John Isner,Delray Beach,1.47,2.971,0.47
Alexandr Dolgopolov,David Ferrer,Rio de Janeiro,4.792,1.237,-1
Jerzy Janowicz,Tommy Haas,Rotterdam,1.724,2.288,-1
Rafael Nadal,Alexandr Dolgopolov,Rio de Janeiro,1.183,5.821,0.183
Ernests Gulbis,Jo-Wilfried Tsonga,Marseille,2.327,1.703,1.327
Ernests Gulbis,Roberto Bautista Agut,Marseille,1.432,3.136,0.432
Kevin Anderson,Alexandr Dolgopolov,Acapulco,2.752,1.53,-1
Kevin Anderson,David Ferrer,Acapulco,3.555,1.359,-1
Roger Federer,Tomas Berdych,Dubai,1.719,2.298,-1
Tomas Berdych,Philipp Kohlschreiber,Dubai,1.152,6.716,0.152
Tomas Berdych,Jo-Wilfried Tsonga,Dubai,1.384,3.397,0.384
Alexandr Dolgopolov,Jeremy Chardy,Acapulco,1.598,2.556,0.598
Grigor Dimitrov,Andy Murray,Acapulco,2.861,1.498,-1
Grigor Dimitrov,Ernests Gulbis,Acapulco,1.83,2.125,-1
Philipp Kohlschreiber,Andreas Seppi,Dubai,1.384,3.394,0.384
David Ferrer,Feliciano Lopez,Acapulco,1.314,3.909,0.314
Andy Murray,Gilles Simon,Acapulco,1.155,6.609,0.155
Roberto Bautista Agut,Tomas Berdych,ATP World Tour Masters 1000 Indian Wells,6.888,1.147,-1
Ernests Gulbis,Grigor Dimitrov,ATP World Tour Masters 1000 Indian Wells,1.883,2.058,0.883
Novak Djokovic,John Isner,ATP World Tour Masters 1000 Indian Wells,1.219,5.085,0.219
Novak Djokovic,Marin Cilic,ATP World Tour Masters 1000 Indian Wells,1.198,5.489,0.198
Roger Federer,Kevin Anderson,ATP World Tour Masters 1000 Indian Wells,1.212,5.209,0.212
Kevin Anderson,Lleyton Hewitt,ATP World Tour Masters 1000 Indian Wells,1.376,3.444,-1
John Isner,Ernests Gulbis,ATP World Tour Masters 1000 Indian Wells,2.27,1.735,-1
John Isner,Fernando Verdasco,ATP World Tour Masters 1000 Indian Wells,1.629,2.48,-1
Alexandr Dolgopolov,Rafael Nadal,ATP World Tour Masters 1000 Indian Wells,7.624,1.129,-1
Alexandr Dolgopolov,Milos Raonic,ATP World Tour Masters 1000 Indian Wells,2.159,1.806,-1
Marin Cilic,Tommy Robredo,ATP World Tour Masters 1000 Indian Wells,1.341,3.689,0.341
Kevin Anderson,Stan Wawrinka,ATP World Tour Masters 1000 Indian Wells,4.426,1.264,-1
Ernests Gulbis,Roberto Bautista Agut,ATP World Tour Masters 1000 Indian Wells,1.387,3.378,0.387
John Isner,Nicolas Almagro,ATP World Tour Masters 1000 Miami,1.708,2.317,0.708
Tomas Berdych,Alexandr Dolgopolov,ATP World Tour Masters 1000 Miami,1.376,3.447,0.376
Tomas Berdych,John Isner,ATP World Tour Masters 1000 Miami,1.412,3.237,0.412
Novak Djokovic,Jeremy Chardy,ATP World Tour Masters 1000 Miami,1.033,20.546,0.033
David Ferrer,Andreas Seppi,ATP World Tour Masters 1000 Miami,1.135,7.365,0.135
Tommy Haas,Kei Nishikori,ATP World Tour Masters 1000 Indian Wells,2.828,1.507,-1
Tommy Haas,Jeremy Chardy,ATP World Tour Masters 1000 Indian Wells,2.014,1.922,-1
Fabio Fognini,Gael Monfils,ATP World Tour Masters 1000 Indian Wells,3.204,1.419,-1
Rafael Nadal,Milos Raonic,ATP World Tour Masters 1000 Miami,1.145,6.958,0.145
Kei Nishikori,Grigor Dimitrov,ATP World Tour Masters 1000 Miami,2.058,1.883,1.058
Roberto Bautista Agut,Jerzy Janowicz,ATP World Tour Masters 1000 Miami,1.764,2.221,-1
Fabio Fognini,Roberto Bautista Agut,ATP World Tour Masters 1000 Miami,2.27,1.735,1.27
Andy Murray,Feliciano Lopez,ATP World Tour Masters 1000 Miami,1.214,5.17,0.214
Kei Nishikori,Roger Federer,ATP World Tour Masters 1000 Miami,5.973,1.177,-1
Andy Murray,Andreas Seppi,Davis Cup,1.213,5.201,0.213
Fernando Verdasco,Nicolas Almagro,Houston,2.72,1.54,1.72
Richard Gasquet,Kevin Anderson,ATP World Tour Masters 1000 Miami,1.859,2.087,-1
Fernando Verdasco,Richard Gasquet,ATP World Tour Masters 1000 Indian Wells,3.156,1.428,-1
Rafael Nadal,Andreas Seppi,ATP World Tour Masters 1000 Monte Carlo,1.014,32.211,0.014
Milos Raonic,Tommy Robredo,ATP World Tour Masters 1000 Monte Carlo,2.116,1.837,1.116
Jo-Wilfried Tsonga,Fabio Fognini,ATP World Tour Masters 1000 Monte Carlo,2.27,1.735,1.27
Stan Wawrinka,Roger Federer,ATP World Tour Masters 1000 Monte Carlo,2.357,1.687,-1
Stan Wawrinka,Milos Raonic,ATP World Tour Masters 1000 Monte Carlo,1.391,3.353,0.391
Andreas Seppi,Mikhail Youzhny,ATP World Tour Masters 1000 Monte Carlo,1.948,1.985,-1
Fabio Fognini,Roberto Bautista Agut,ATP World Tour Masters 1000 Monte Carlo,1.482,2.923,0.482
Jo-Wilfried Tsonga,Philipp Kohlschreiber,ATP World Tour Masters 1000 Monte Carlo,1.571,2.628,0.571
Nicolas Almagro,Fernando Verdasco,Barcelona,1.957,1.976,0.957
Nicolas Almagro,Rafael Nadal,Barcelona,7.041,1.143,-1
Marin Cilic,Tommy Robredo,Barcelona,2.24,1.752,1.24
Tommy Haas,Andreas Seppi,Munich,1.445,3.075,0.445
Rafael Nadal,Tomas Berdych,ATP World Tour Masters 1000 Madrid,1.165,6.296,0.165
Tomas Berdych,Grigor Dimitrov,ATP World Tour Masters 1000 Madrid,1.713,2.308,0.713
Tomas Berdych,Kevin Anderson,ATP World Tour Masters 1000 Madrid,1.199,5.459,0.199
Roger Federer,Novak Djokovic,ATP World Tour Masters 1000 Monte Carlo,3.738,1.334,-1
Roger Federer,Jo-Wilfried Tsonga,ATP World Tour Masters 1000 Monte Carlo,1.292,4.118,0.292
David Ferrer,Ernests Gulbis,ATP World Tour Masters 1000 Madrid,1.428,3.156,0.428
Ernests Gulbis,Alexandr Dolgopolov,ATP World Tour Masters 1000 Madrid,1.876,2.067,-1
Rafael Nadal,Kei Nishikori,ATP World Tour Masters 1000 Madrid,1.131,7.533,0.131
Milos Raonic,Jeremy Chardy,ATP World Tour Masters 1000 Madrid,1.34,3.693,0.34
Roberto Bautista Agut,Tommy Robredo,ATP World Tour Masters 1000 Madrid,2.312,1.711,-1
Feliciano Lopez,Mikhail Youzhny,ATP World Tour Masters 1000 Madrid,2.129,1.827,1.129
Roberto Bautista Agut,Fernando Verdasco,ATP World Tour Masters 1000 Madrid,2.067,1.876,-1
Rafael Nadal,Roberto Bautista Agut,ATP World Tour Masters 1000 Madrid,1.058,13.912,0.058
Alexandr Dolgopolov,Fabio Fognini,ATP World Tour Masters 1000 Madrid,1.786,2.187,0.786
Ernests Gulbis,Jerzy Janowicz,ATP World Tour Masters 1000 Madrid,1.292,4.118,-1
Jo-Wilfried Tsonga,Kevin Anderson,ATP World Tour Masters 1000 Rome,1.397,3.323,-1
Grigor Dimitrov,Tomas Berdych,ATP World Tour Masters 1000 Rome,2.409,1.661,-1
Novak Djokovic,Milos Raonic,ATP World Tour Masters 1000 Rome,1.16,6.453,0.16
Novak Djokovic,David Ferrer,ATP World Tour Masters 1000 Rome,1.37,3.486,0.37
Jeremy Chardy,Roger Federer,ATP World Tour Masters 1000 Rome,7.67,1.128,-1
Grigor Dimitrov,Tommy Haas,ATP World Tour Masters 1000 Rome,1.467,2.98,-1
Tommy Haas,Stan Wawrinka,ATP World Tour Masters 1000 Rome,5.821,1.183,-1
Tommy Haas,Andreas Seppi,ATP World Tour Masters 1000 Rome,2.004,1.93,1.004
Novak Djokovic,Rafael Nadal,ATP World Tour Masters 1000 Rome,2.236,1.755,1.236
Novak Djokovic,Rafael Nadal,ATP World Tour Masters 1000 Rome,2.236,1.755,1.236
Rafael Nadal,Mikhail Youzhny,ATP World Tour Masters 1000 Rome,1.076,11.442,0.076
Rafael Nadal,Gilles Simon,ATP World Tour Masters 1000 Rome,1.036,19.367,0.036
Kei Nishikori,Feliciano Lopez,ATP World Tour Masters 1000 Madrid,1.162,6.402,0.162
Milos Raonic,Jeremy Chardy,ATP World Tour Masters 1000 Rome,1.359,3.555,0.359
Philipp Kohlschreiber,Tommy Robredo,ATP World Tour Masters 1000 Rome,2.465,1.636,1.465
Philipp Kohlschreiber,Jerzy Janowicz,ATP World Tour Masters 1000 Rome,1.868,2.077,-1
