p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
58,31,Tommy Robredo,$1.160,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Nicolas Almagro,FALSE,54,cluster_4,2.04,24
67,42,Tomas Berdych,$4.837,Tomas Berdych,Feb 25 2013,Australian Open Slam,Round of 16,Kevin Anderson,FALSE,65,cluster_4,-1.91,16
67,35,Tomas Berdych,$1.479,Tomas Berdych,Feb 25 2013,Dubai,S,Roger Federer,FALSE,64,cluster_2,0.19,11
63,34,Tommy Haas,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,Ernests Gulbis,FALSE,77,cluster_4,1.58,35
65,36,Ernests Gulbis,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,Tommy Haas,FALSE,80,cluster_4,0.81,31
60,23,Kevin Anderson,$1.985,John Isner,Feb 25 2013,Delray Beach,Q,John Isner,FALSE,75,cluster_4,2.26,26
68,41,Nicolas Almagro,$6.453,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Tommy Robredo,FALSE,67,cluster_4,-1.36,19
69,54,Novak Djokovic,$19.689,Novak Djokovic,Feb 25 2013,Dubai,Q,Andreas Seppi,FALSE,69,cluster_3,-1.91,12
68,36,Tommy Haas,$1.653,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Nicolas Almagro,FALSE,47,cluster_1,0.43,16
59,38,David Ferrer,$4.328,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Kevin Anderson,FALSE,54,cluster_0,-0.29,14
76,39,John Isner,$1.948,John Isner,Mar 6 2013,Delray Beach,Q,Kevin Anderson,FALSE,59,cluster_4,-1.76,15
67,34,Milos Raonic,$2.096,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Marin Cilic,FALSE,55,cluster_0,-0.07,20
