p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
62,37,Fernando Verdasco,$1.192,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,David Ferrer,FALSE,75,cluster_1,0.43,26
58,23,Grigor Dimitrov,$1.860,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Richard Gasquet,FALSE,56,cluster_4,0.63,15
58,40,Rafael Nadal,$11.748,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Ernests Gulbis,FALSE,62,cluster_1,-0.45,6
67,46,Mikhail Youzhny,$1.444,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Tommy Haas,FALSE,63,cluster_1,-1.14,17
45,28,Roger Federer,$1.224,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,F,Rafael Nadal,FALSE,75,cluster_4,4.29,21
58,17,Tomas Berdych,$1.185,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,S,Rafael Nadal,FALSE,76,cluster_0,4.19,28
55,43,David Ferrer,$1.158,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Rafael Nadal,FALSE,77,cluster_1,1.54,14
59,41,Ernests Gulbis,$1.073,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Rafael Nadal,FALSE,78,cluster_3,1.52,20
74,48,Jeremy Chardy,$1.462,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Kei Nishikori,FALSE,41,cluster_1,-0.59,10
62,38,David Ferrer,$5.624,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Fernando Verdasco,FALSE,54,cluster_0,0.32,10
53,32,Tommy Haas,$3.084,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Mikhail Youzhny,FALSE,56,cluster_1,1.32,20
64,36,Novak Djokovic,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,Tomas Berdych,FALSE,70,cluster_4,-0.7,9
58,30,Kevin Anderson,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,FALSE,71,cluster_1,2.06,27
63,31,Stan Wawrinka,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,Tomas Berdych,FALSE,73,cluster_1,1.07,24
62,39,Tommy Robredo,$1.221,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Nicolas Almagro,FALSE,10,cluster_3,0.15,3
54,26,Andreas Seppi,$1.219,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Nicolas Almagro,FALSE,11,cluster_0,0.19,2
79,39,Jo-Wilfried Tsonga,$4.290,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jeremy Chardy,FALSE,16,cluster_1,-0.08,3
73,50,Novak Djokovic,$9.817,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,Grigor Dimitrov,FALSE,60,cluster_3,-0.73,7
68,39,Rafael Nadal,$2.582,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Novak Djokovic,FALSE,64,cluster_4,0.74,17
57,19,Tommy Haas,$1.110,Novak Djokovic,May 27 2013,French Open Slam,Quarter Final,Novak Djokovic,FALSE,65,cluster_0,3.29,16
50,27,Grigor Dimitrov,$1.093,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,Novak Djokovic,FALSE,69,cluster_2,3.21,26
52,34,Jo-Wilfried Tsonga,$1.682,David Ferrer,May 27 2013,French Open Slam,Semi Final,David Ferrer,FALSE,62,cluster_3,2.81,26
46,24,Tommy Robredo,$1.085,David Ferrer,May 27 2013,French Open Slam,Quarter Final,David Ferrer,FALSE,67,cluster_0,3.21,18
48,27,Kevin Anderson,$1.170,David Ferrer,May 27 2013,French Open Slam,Round of 16,David Ferrer,FALSE,68,cluster_0,3.38,21
70,36,Stan Wawrinka,$2.125,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,Richard Gasquet,FALSE,51,cluster_3,-0.89,10
64,35,Gael Monfils,$1.735,Gael Monfils,May 27 2013,French Open Slam,Round of 64,Ernests Gulbis,FALSE,60,cluster_4,1.18,26
43,37,Mikhail Youzhny,$1.823,Tommy Haas,May 27 2013,French Open Slam,Round of 16,Tommy Haas,FALSE,58,cluster_3,1.44,13
68,27,John Isner,$1.373,Tommy Haas,May 27 2013,French Open Slam,Round of 32,Tommy Haas,FALSE,59,cluster_4,0.75,23
73,32,Tommy Haas,$3.467,Tommy Haas,May 27 2013,French Open Slam,Round of 32,John Isner,FALSE,58,cluster_1,-0.28,9
66,40,Tommy Robredo,$1.513,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,Gael Monfils,FALSE,47,cluster_4,0.05,11
65,36,Ernests Gulbis,$2.269,Gael Monfils,May 27 2013,French Open Slam,Round of 64,Gael Monfils,FALSE,48,cluster_4,-0.28,10
68,28,Tomas Berdych,$4.580,Gael Monfils,May 27 2013,French Open Slam,Round of 128,Gael Monfils,FALSE,49,cluster_3,1.07,14
46,38,David Ferrer,$1.114,Rafael Nadal,May 27 2013,French Open Slam,Final,Rafael Nadal,FALSE,64,cluster_1,0.89,11
61,33,Novak Djokovic,$1.588,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Rafael Nadal,FALSE,65,cluster_2,1.48,21
48,30,Stan Wawrinka,$1.065,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,Rafael Nadal,FALSE,66,cluster_4,4.07,20
54,29,Kei Nishikori,$1.041,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,Rafael Nadal,FALSE,69,cluster_2,1.64,23
71,46,Rafael Nadal,$17.789,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,Kei Nishikori,FALSE,30,cluster_1,-0.42,4
75,40,Kevin Anderson,$1.698,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,Milos Raonic,FALSE,23,cluster_3,-0.53,9
61,38,Nicolas Almagro,$5.047,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Tommy Robredo,FALSE,48,cluster_0,0.88,15
60,34,Gael Monfils,$2.809,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,Tommy Robredo,FALSE,49,cluster_0,0.23,22
74,46,Nicolas Almagro,$5.085,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Andreas Seppi,FALSE,53,cluster_3,-0.93,10
66,48,David Ferrer,$2.367,David Ferrer,May 27 2013,French Open Slam,Semi Final,Jo-Wilfried Tsonga,FALSE,9,cluster_0,-0.11,2
53,26,Roger Federer,$2.480,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Quarter Final,Jo-Wilfried Tsonga,FALSE,11,cluster_2,0.3,4
61,21,Jeremy Chardy,$1.276,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jo-Wilfried Tsonga,FALSE,16,cluster_2,0.83,5
70,52,Rafael Nadal,$12.872,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,Stan Wawrinka,FALSE,40,cluster_3,-0.29,6
64,30,Richard Gasquet,$1.830,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,Stan Wawrinka,FALSE,41,cluster_2,1.81,18
63,57,Tommy Haas,$2.135,Tommy Haas,May 27 2013,French Open Slam,Round of 16,Mikhail Youzhny,FALSE,51,cluster_2,-0.95,14
73,52,David Ferrer,$6.153,David Ferrer,Jun 10 2013,French Open Slam,Round of 16,Kevin Anderson,FALSE,12,cluster_4,-0.61,3
60,25,Milos Raonic,$2.337,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 32,Kevin Anderson,FALSE,16,cluster_2,0.17,5
69,41,Tomas Berdych,$3.814,Tomas Berdych,Jun 10 2013,ATP World Tour Masters 1000 Rome,R16,Kevin Anderson,FALSE,20,cluster_4,-0.97,6
72,32,Gael Monfils,$1.252,Gael Monfils,Jun 10 2013,French Open Slam,Round of 128,Tomas Berdych,FALSE,69,cluster_1,2.1,26
55,36,Lleyton Hewitt,$1.713,Marin Cilic,Jun 10 2013,London / Queen's Club,S,Marin Cilic,FALSE,38,cluster_1,0.76,7
70,29,Tomas Berdych,$3.326,Marin Cilic,Jun 10 2013,London / Queen's Club,Q,Marin Cilic,FALSE,39,cluster_0,-0.39,14
62,40,Lleyton Hewitt,$1.431,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,Juan Martin Del Potro,FALSE,1,cluster_1,0,0
73,41,Lleyton Hewitt,$1.484,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,R32,Grigor Dimitrov,FALSE,58,cluster_3,-0.5,4
65,24,Mikhail Youzhny,$1.153,Roger Federer,Jun 10 2013,Halle,F,Roger Federer,FALSE,28,cluster_0,1.18,10
63,28,Tommy Haas,$1.367,Roger Federer,Jun 10 2013,Halle,S,Roger Federer,FALSE,31,cluster_0,1.29,11
74,39,Mikhail Youzhny,$1.559,Mikhail Youzhny,Jun 10 2013,Halle,S,Richard Gasquet,FALSE,48,cluster_3,-0.65,11
79,36,Tommy Haas,$2.860,Tommy Haas,Jun 10 2013,Halle,R16,Ernests Gulbis,FALSE,58,cluster_2,-0.8,18
71,36,Roger Federer,$3.501,Roger Federer,Jun 10 2013,Halle,S,Tommy Haas,FALSE,55,cluster_4,0.9,19
66,24,Gael Monfils,$1.426,Tommy Haas,Jun 10 2013,Halle,Q,Tommy Haas,FALSE,56,cluster_0,0.96,12
63,20,Ernests Gulbis,$1.498,Tommy Haas,Jun 10 2013,Halle,R16,Tommy Haas,FALSE,57,cluster_0,1.06,13
63,44,Marin Cilic,$2.308,Marin Cilic,Jun 10 2013,London / Queen's Club,S,Lleyton Hewitt,FALSE,39,cluster_2,-0.38,9
59,37,Juan Martin Del Potro,$3.141,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,Lleyton Hewitt,FALSE,40,cluster_1,1.21,17
58,26,Grigor Dimitrov,$2.912,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,R32,Lleyton Hewitt,FALSE,42,cluster_1,1.3,19
59,26,Milos Raonic,$2.730,Gael Monfils,Jun 10 2013,Halle,R32,Gael Monfils,FALSE,46,cluster_3,0.93,12
66,35,Mikhail Youzhny,$1.691,Mikhail Youzhny,Jun 10 2013,Halle,R16,Kei Nishikori,FALSE,29,cluster_0,0.02,8
74,40,Gael Monfils,$1.510,Gael Monfils,Jun 10 2013,Halle,R32,Milos Raonic,FALSE,22,cluster_3,-0.39,8
75,34,Roger Federer,$6.678,Roger Federer,Jun 10 2013,Halle,F,Mikhail Youzhny,FALSE,47,cluster_0,-0.12,9
60,25,Richard Gasquet,$2.662,Mikhail Youzhny,Jun 10 2013,Halle,S,Mikhail Youzhny,FALSE,48,cluster_3,1.38,15
65,33,Kei Nishikori,$2.350,Mikhail Youzhny,Jun 10 2013,Halle,R16,Mikhail Youzhny,FALSE,50,cluster_0,-0.47,12
74,32,Stan Wawrinka,$3.106,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Jeremy Chardy,FALSE,10,cluster_1,-0.16,2
67,25,Jeremy Chardy,$1.439,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Stan Wawrinka,FALSE,32,cluster_0,0.8,9
64,35,Kevin Anderson,$1.208,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 32,Tomas Berdych,FALSE,63,cluster_4,0.52,17
70,29,Marin Cilic,$1.396,Marin Cilic,Jun 24 2013,London / Queen's Club,Q,Tomas Berdych,FALSE,66,cluster_1,2.09,25
69,35,Novak Djokovic,$6.625,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,Juan Martin del Potro,FALSE,80,cluster_4,-1.26,19
60,24,David Ferrer,$2.135,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,Juan Martin del Potro,FALSE,81,cluster_3,2.02,27
61,28,Andreas Seppi,$1.283,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,Juan Martin del Potro,FALSE,82,cluster_3,3.07,32
65,31,Juan Martin del Potro,$1.155,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,Novak Djokovic,FALSE,53,cluster_4,0.46,16
61,29,Tomas Berdych,$1.121,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Quarter Final,Novak Djokovic,FALSE,54,cluster_2,1.97,18
53,31,Tommy Haas,$1.141,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,Novak Djokovic,FALSE,57,cluster_2,2.87,19
53,10,Jeremy Chardy,$1.033,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 32,Novak Djokovic,FALSE,58,cluster_0,2.48,13
76,40,Juan Martin del Potro,$1.823,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,David Ferrer,FALSE,50,cluster_1,0.32,19
77,40,Fernando Verdasco,$1.644,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,Ernests Gulbis,FALSE,55,cluster_2,-0.67,16
63,33,Jo-Wilfried Tsonga,$4.533,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,Ernests Gulbis,FALSE,56,cluster_4,1.02,23
69,47,Novak Djokovic,$7.120,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,Tommy Haas,FALSE,51,cluster_1,-1.25,10
58,36,Stan Wawrinka,$2.380,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,Lleyton Hewitt,FALSE,38,cluster_1,1.26,13
64,40,Andreas Seppi,$1.373,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,Kei Nishikori,FALSE,21,cluster_4,0.24,5
72,39,Juan Martin del Potro,$4.205,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,Andreas Seppi,FALSE,45,cluster_0,-0.81,19
60,36,Kei Nishikori,$3.467,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,Andreas Seppi,FALSE,46,cluster_2,1.14,14
67,37,Ernests Gulbis,$1.256,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,Jo-Wilfried Tsonga,FALSE,2,cluster_0,0,0
60,23,Ernests Gulbis,$2.447,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,Fernando Verdasco,FALSE,46,cluster_2,1.49,17
64,42,Lleyton Hewitt,$1.676,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,Stan Wawrinka,FALSE,28,cluster_1,-0.11,6
71,39,Novak Djokovic,$8.023,Novak Djokovic,Jul 8 2013,Wimbledon Slam,Quarter Final,Tomas Berdych,FALSE,61,cluster_4,-0.61,7
68,38,Fernando Verdasco,$2.178,Fernando Verdasco,Jul 8 2013,Bastad,S,Grigor Dimitrov,FALSE,52,cluster_1,0.68,14
71,37,Tommy Haas,$2.394,Tommy Haas,Jul 8 2013,Stuttgart,R16,Ernests Gulbis,FALSE,53,cluster_2,-0.59,15
62,28,Ernests Gulbis,$1.669,Tommy Haas,Jul 8 2013,Stuttgart,R16,Tommy Haas,FALSE,50,cluster_4,0.34,18
56,32,John Isner,$2.188,Lleyton Hewitt,Jul 8 2013,Newport,S,Lleyton Hewitt,FALSE,33,cluster_1,0.96,13
67,43,Lleyton Hewitt,$1.786,Lleyton Hewitt,Jul 8 2013,Newport,S,John Isner,FALSE,52,cluster_2,-0.99,8
61,31,Grigor Dimitrov,$1.792,Fernando Verdasco,Jul 8 2013,Bastad,S,Fernando Verdasco,FALSE,40,cluster_2,1.13,13
57,39,Nicolas Almagro,$2.289,Fernando Verdasco,Jul 8 2013,Bastad,Q,Fernando Verdasco,FALSE,41,cluster_0,0.25,15
60,42,Fernando Verdasco,$1.724,Fernando Verdasco,Jul 15 2013,Bastad,Q,Nicolas Almagro,FALSE,84,cluster_3,-0.26,24
65,36,Tomas Berdych,$5.287,Tomas Berdych,Jul 15 2013,Wimbledon Slam,Round of 32,Kevin Anderson,FALSE,87,cluster_1,-1.09,35
75,33,Tommy Haas,$3.166,Tommy Haas,Jul 15 2013,Halle,Q,Gael Monfils,FALSE,44,cluster_4,0.13,10
70,32,John Isner,$2.144,John Isner,Jul 22 2013,Atlanta,S,Lleyton Hewitt,FALSE,28,cluster_0,-0.14,6
75,28,Kevin Anderson,$1.995,John Isner,Jul 22 2013,Atlanta,F,John Isner,FALSE,48,cluster_1,-0.52,12
67,29,Lleyton Hewitt,$1.816,John Isner,Jul 22 2013,Atlanta,S,John Isner,FALSE,49,cluster_3,0.47,9
59,38,Andreas Seppi,$1.592,Tommy Robredo,Jul 22 2013,Umag,S,Tommy Robredo,FALSE,39,cluster_0,0.85,14
61,40,Tommy Robredo,$2.571,Tommy Robredo,Jul 22 2013,Umag,S,Andreas Seppi,FALSE,42,cluster_0,-0.59,18
71,25,John Isner,$1.939,John Isner,Jul 29 2013,Atlanta,F,Kevin Anderson,FALSE,73,cluster_3,-0.85,23
58,27,John Isner,$1.307,Juan Martin Del Potro,Jul 29 2013,Washington,F,Juan Martin Del Potro,FALSE,75,cluster_3,1.52,28
62,37,Tommy Haas,$1.279,Juan Martin Del Potro,Jul 29 2013,Washington,S,Juan Martin Del Potro,FALSE,76,cluster_1,0.64,16
60,26,Kevin Anderson,$1.315,Juan Martin Del Potro,Jul 29 2013,Washington,Q,Juan Martin Del Potro,FALSE,77,cluster_3,1.67,29
75,27,Tommy Haas,$1.958,Tommy Haas,Jul 29 2013,Washington,Q,Grigor Dimitrov,FALSE,49,cluster_0,0.93,16
72,25,Grigor Dimitrov,$1.976,Tommy Haas,Jul 29 2013,Washington,Q,Tommy Haas,FALSE,43,cluster_4,0.31,17
73,39,Juan Martin Del Potro,$3.902,Juan Martin Del Potro,Aug 5 2013,Washington,Q,Kevin Anderson,FALSE,67,cluster_4,-2,17
71,36,Milos Raonic,$4.330,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Jeremy Chardy,FALSE,81,cluster_3,-0.74,27
64,50,Milos Raonic,$1.657,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Juan Martin Del Potro,FALSE,74,cluster_1,0.44,21
67,34,Rafael Nadal,$1.453,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Novak Djokovic,FALSE,44,cluster_4,0.53,13
48,20,Richard Gasquet,$1.150,Novak Djokovic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Novak Djokovic,FALSE,47,cluster_3,4.14,14
60,40,Kei Nishikori,$1.639,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Richard Gasquet,FALSE,42,cluster_2,0.72,19
73,34,Mikhail Youzhny,$1.623,Mikhail Youzhny,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Ernests Gulbis,FALSE,47,cluster_2,-0.52,13
67,33,Milos Raonic,$2.357,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Ernests Gulbis,FALSE,48,cluster_2,-0.51,16
62,37,Juan Martin Del Potro,$4.247,Juan Martin Del Potro,Aug 5 2013,Washington,S,Tommy Haas,FALSE,42,cluster_2,-0.28,14
72,41,Juan Martin Del Potro,$3.974,Juan Martin Del Potro,Aug 5 2013,Washington,F,John Isner,FALSE,43,cluster_2,-0.6,11
52,17,Milos Raonic,$1.221,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,F,Rafael Nadal,FALSE,49,cluster_0,2.42,17
65,32,Novak Djokovic,$3.042,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Rafael Nadal,FALSE,51,cluster_2,1.21,17
59,40,Richard Gasquet,$2.457,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Kei Nishikori,FALSE,13,cluster_4,0.13,1
57,32,Andreas Seppi,$1.535,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Kei Nishikori,FALSE,14,cluster_4,0.14,2
67,32,Ernests Gulbis,$1.687,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Milos Raonic,FALSE,5,cluster_0,-0.01,2
50,35,Juan Martin Del Potro,$2.418,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Milos Raonic,FALSE,6,cluster_2,-0.07,2
66,16,Mikhail Youzhny,$1.700,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Milos Raonic,FALSE,7,cluster_4,0.12,1
63,28,Jeremy Chardy,$1.272,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Milos Raonic,FALSE,11,cluster_0,0.41,6
67,42,Kei Nishikori,$2.737,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Andreas Seppi,FALSE,40,cluster_0,-0.84,17
67,33,John Isner,$1.472,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,S,Juan Martin Del Potro,FALSE,66,cluster_4,-0.58,23
64,39,Rafael Nadal,$6.217,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Grigor Dimitrov,FALSE,45,cluster_1,-0.32,10
62,32,Nicolas Almagro,$2.086,Grigor Dimitrov,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Grigor Dimitrov,FALSE,47,cluster_1,0.7,11
75,32,John Isner,$1.128,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,Q,Novak Djokovic,FALSE,37,cluster_4,0.33,11
70,34,Rafael Nadal,$3.874,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,Q,Roger Federer,FALSE,8,cluster_2,-0.02,1
61,39,Tommy Haas,$1.423,Roger Federer,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Roger Federer,FALSE,9,cluster_1,0.07,3
70,21,Kevin Anderson,$1.930,Tommy Haas,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Tommy Haas,FALSE,40,cluster_0,0.26,5
72,19,John Isner,$1.234,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,F,Rafael Nadal,FALSE,43,cluster_0,1.89,13
61,28,Tomas Berdych,$1.343,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,S,Rafael Nadal,FALSE,44,cluster_0,1.98,14
65,29,Roger Federer,$1.318,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,Q,Rafael Nadal,FALSE,45,cluster_2,1.29,16
60,35,Grigor Dimitrov,$1.168,Rafael Nadal,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Rafael Nadal,FALSE,47,cluster_2,1.89,21
74,34,John Isner,$2.289,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Milos Raonic,FALSE,1,cluster_3,0,0
58,37,Stan Wawrinka,$3.178,Tommy Robredo,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Tommy Robredo,FALSE,37,cluster_0,0.7,14
78,43,Stan Wawrinka,$3.219,Stan Wawrinka,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Andreas Seppi,FALSE,39,cluster_3,-0.77,6
62,41,Tommy Robredo,$1.424,Tommy Robredo,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Stan Wawrinka,FALSE,18,cluster_1,-0.16,3
56,21,Andreas Seppi,$1.416,Stan Wawrinka,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Stan Wawrinka,FALSE,19,cluster_0,0.12,5
65,26,Ernests Gulbis,$2.494,Mikhail Youzhny,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Mikhail Youzhny,FALSE,35,cluster_3,0.75,7
71,38,Rafael Nadal,$3.668,Rafael Nadal,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,S,Tomas Berdych,FALSE,53,cluster_4,-0.52,6
51,28,Tommy Robredo,$1.224,Tomas Berdych,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R16,Tomas Berdych,FALSE,55,cluster_0,1.66,10
80,27,Rafael Nadal,$4.835,Rafael Nadal,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,F,John Isner,FALSE,36,cluster_1,-0.64,5
66,32,Juan Martin Del Potro,$2.962,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,S,John Isner,FALSE,37,cluster_3,0.17,10
67,24,Novak Djokovic,$7.668,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,Q,John Isner,FALSE,38,cluster_0,0.16,14
65,25,Milos Raonic,$1.724,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R16,John Isner,FALSE,39,cluster_0,0.51,17
67,25,Richard Gasquet,$2.057,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R32,John Isner,FALSE,40,cluster_0,0.69,14
62,30,Tommy Robredo,$1.611,Gael Monfils,Aug 18 2013,Winston-Salem,R16,Gael Monfils,FALSE,33,cluster_3,0.94,10
72,48,Tomas Berdych,$4.996,Tomas Berdych,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R16,Tommy Robredo,FALSE,36,cluster_3,-0.79,8
73,38,Gael Monfils,$2.337,Gael Monfils,Aug 18 2013,Winston-Salem,Q,Fernando Verdasco,FALSE,31,cluster_3,-0.23,10
67,37,Grigor Dimitrov,$1.860,Grigor Dimitrov,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,Nicolas Almagro,FALSE,72,cluster_3,-0.99,18
78,29,Tommy Haas,$2.004,Tommy Haas,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,Kevin Anderson,FALSE,62,cluster_3,0.39,10
67,39,Stan Wawrinka,$1.373,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 16,Tomas Berdych,FALSE,49,cluster_4,-0.43,7
63,41,Lleyton Hewitt,$1.114,Lleyton Hewitt,Aug 26 2013,US Open Slam,Round of 64,Juan Martin del Potro,FALSE,61,cluster_1,0.03,7
62,45,Rafael Nadal,$2.236,Rafael Nadal,Aug 26 2013,US Open Slam,Final,Novak Djokovic,FALSE,22,cluster_4,0.58,6
60,36,Stan Wawrinka,$1.220,Novak Djokovic,Aug 26 2013,US Open Slam,Semi Final,Novak Djokovic,FALSE,23,cluster_4,-0.11,4
53,34,Mikhail Youzhny,$1.040,Novak Djokovic,Aug 26 2013,US Open Slam,Quarter Final,Novak Djokovic,FALSE,26,cluster_1,1.42,9
62,37,Tommy Robredo,$1.052,Tommy Robredo,Aug 26 2013,US Open Slam,Round of 16,Roger Federer,FALSE,2,cluster_1,0.08,1
62,40,Richard Gasquet,$1.421,Richard Gasquet,Aug 26 2013,US Open Slam,Quarter Final,David Ferrer,FALSE,33,cluster_1,0.35,10
60,38,David Ferrer,$3.194,Richard Gasquet,Aug 26 2013,US Open Slam,Quarter Final,Richard Gasquet,FALSE,36,cluster_2,0.76,10
65,38,Milos Raonic,$2.197,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 16,Richard Gasquet,FALSE,37,cluster_2,0.35,15
74,32,John Isner,$1.884,John Isner,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R32,Richard Gasquet,FALSE,41,cluster_3,-0.63,9
61,38,Roger Federer,$3.184,Roger Federer,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R16,Tommy Haas,FALSE,38,cluster_2,0.06,12
58,42,Mikhail Youzhny,$2.567,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 16,Lleyton Hewitt,FALSE,23,cluster_4,-0.07,8
