player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Novak Djokovic,Juan Martin Del Potro,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,$1.183,$5.821,-0.05,-0.07,17,4
Roger Federer,Stan Wawrinka,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$1.264,$4.432,0.51,-0.2,9,13
Ernests Gulbis,Andreas Seppi,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.482,$2.924,1.56,-0.83,24,23
Tommy Haas,Juan Martin Del Potro,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$4.328,$1.272,-1.63,0.23,11,1
Tommy Haas,Nicolas Almagro,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$2.428,$1.653,0.96,-0.02,22,9
Lleyton Hewitt,Stan Wawrinka,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$3.984,$1.306,-0.29,2.37,8,26
Lleyton Hewitt,John Isner,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,$2.933,$1.479,1.57,0.83,17,16
John Isner,Lleyton Hewitt,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,$1.479,$2.933,0.83,1.57,16,17
Milos Raonic,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$2.197,$1.780,0.15,0.37,4,11
Milos Raonic,Marin Cilic,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.852,$2.096,0.74,-0.72,13,15
Andreas Seppi,Ernests Gulbis,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$2.924,$1.482,-0.83,1.56,23,24
Jo-Wilfried Tsonga,Milos Raonic,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$1.780,$2.197,0.37,0.15,11,4
Stan Wawrinka,Roger Federer,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$4.432,$1.264,-0.2,0.51,13,9
Stan Wawrinka,Lleyton Hewitt,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.306,$3.984,2.37,-0.29,26,8
Nicolas Almagro,Richard Gasquet,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$2.106,$1.845,-0.35,1.4,7,20
Kevin Anderson,Tomas Berdych,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,$4.915,$1.229,0.01,1.32,11,22
Tomas Berdych,Kevin Anderson,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,$1.229,$4.915,1.32,0.01,22,11
Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$2.791,$1.518,1.68,-0.11,13,1
Marin Cilic,John Isner,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.598,$2.557,1.85,-1.31,14,9
David Ferrer,Tommy Haas,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$1.493,$2.881,2.42,0.11,26,17
Richard Gasquet,Tomas Berdych,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,$3.071,$1.446,1.3,-0.85,19,13
Richard Gasquet,Nicolas Almagro,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.845,$2.106,1.4,-0.35,20,7
Richard Gasquet,Mikhail Youzhny,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.272,$4.328,2.7,-1.86,14,12
Tommy Haas,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$2.881,$1.493,0.11,2.42,17,26
John Isner,Marin Cilic,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$2.557,$1.598,-1.31,1.85,9,14
Kei Nishikori,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$3.668,$1.592,-1.03,0.16,8,2
Jo-Wilfried Tsonga,Marin Cilic,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.518,$2.791,-0.11,1.68,1,13
Mikhail Youzhny,Richard Gasquet,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$4.328,$1.272,-1.86,2.7,12,14
Ernests Gulbis,John Isner,Ernests Gulbis,Apr 5 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$1.456,$3.026,1.85,-1.13,9,8
