p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
64,30,Kei Nishikori,$3.151,Feliciano Lopez,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Feliciano Lopez
61,30,Jiri Vesely,$1.598,Feliciano Lopez,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Feliciano Lopez
58,30,Lukas Lacko,$1.314,Feliciano Lopez,Sep 24 2012,Kuala Lumpur,R32,Feliciano Lopez
50,35,Donald Young,$1.479,Feliciano Lopez,Aug 20 2012,Winston-Salem,R32,Feliciano Lopez
72,43,Sam Querrey,$3.487,Sam Querrey,Aug 27 2012,Winston-Salem,R16,Feliciano Lopez
61,31,Yen-Hsun Lu,$1.500,Feliciano Lopez,Oct 1 2012,Beijing,R16,Feliciano Lopez
75,32,Igor Sijsling,$1.470,Igor Sijsling,Oct 1 2012,Kuala Lumpur,R16,Feliciano Lopez
65,27,Ryan Harrison,$1.634,Feliciano Lopez,Oct 1 2012,Beijing,R32,Feliciano Lopez
59,43,Sam Querrey,$2.878,Feliciano Lopez,Oct 1 2012,Beijing,Q,Feliciano Lopez
68,53,Andy Murray,$5.170,Andy Murray,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Feliciano Lopez
88,57,Jo-Wilfried Tsonga,$4.857,Jo-Wilfried Tsonga,Oct 7 2012,Beijing,S,Feliciano Lopez
51,35,Robby Ginepri,$1.380,Feliciano Lopez,Apr 7 2014,Houston,R32,Feliciano Lopez
78,43,Alejandro Gonzalez,$1.472,Alejandro Gonzalez,Apr 7 2014,Houston,R16,Feliciano Lopez
80,43,Ivan Dodig,$1.685,Ivan Dodig,Apr 21 2014,Barcelona,R32,Feliciano Lopez
63,31,Mikhail Youzhny,$2.129,Feliciano Lopez,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Feliciano Lopez
62,23,Philipp Kohlschreiber,$2.644,Feliciano Lopez,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Feliciano Lopez
72,43,Jan-Lennard Struff,$2.335,Jan-Lennard Struff,Apr 28 2014,Munich,R32,Feliciano Lopez
0,0,Dominic Thiem,$2.409,Feliciano Lopez,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Feliciano Lopez
71,31,Federico Delbonis,$2.394,Feliciano Lopez,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Feliciano Lopez
67,39,Alejandro Falla,$1.443,Feliciano Lopez,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Feliciano Lopez
83,42,Novak Djokovic,$25.868,Novak Djokovic,Oct 15 2012,ATP World Tour Masters 1000 Shanghai,R16,Feliciano Lopez
59,26,Florent Serra,$1.209,Feliciano Lopez,Aug 12 2013,US Open Slam,Round of 128,Feliciano Lopez
72,41,Kei Nishikori,$6.402,Kei Nishikori,May 5 2014,ATP World Tour Masters 1000 Madrid,Q,Feliciano Lopez
64,36,Paul-Henri Mathieu,$1.531,Feliciano Lopez,Oct 15 2012,Stockholm,R32,Feliciano Lopez
72,30,Sam Querrey,$2.451,Sam Querrey,Oct 29 2012,Valencia,R32,Feliciano Lopez
62,53,Lukasz Kubot,$1.531,Lukasz Kubot,Jan 7 2013,Doha,R32,Feliciano Lopez
66,35,Bradley Klahn,$1.309,Feliciano Lopez,Aug 26 2013,US Open Slam,Round of 64,Feliciano Lopez
71,29,Sergiy Stakhovsky,$1.416,Sergiy Stakhovsky,Oct 21 2012,Stockholm,R16,Feliciano Lopez
75,37,Milos Raonic,$3.114,Milos Raonic,Aug 26 2013,US Open Slam,Round of 32,Feliciano Lopez
68,33,Albert Ramos,$1.395,Albert Ramos,Dec 31 2012,ATP World Tour Masters 1000 Paris,R64,Feliciano Lopez
62,29,Jeremy Chardy,$1.923,Feliciano Lopez,Jan 7 2013,Sydney,R32,Feliciano Lopez
76,38,Kevin Anderson,$3.253,Kevin Anderson,Jan 14 2013,Sydney,R16,Feliciano Lopez
62,30,Michael Berrer,$1.292,Feliciano Lopez,Jan 13 2014,Australian Open Slam,Round of 64,Feliciano Lopez
60,28,Somdev Devvarman,$1.248,Feliciano Lopez,Dec 30 2013,Australian Open Slam,Round of 128,Feliciano Lopez
79,45,Kei Nishikori,$4.328,Kei Nishikori,Feb 25 2013,Memphis,F,Feliciano Lopez
62,32,Denis Istomin,$2.447,Feliciano Lopez,Feb 25 2013,Memphis,S,Feliciano Lopez
73,40,Andy Murray,$6.802,Andy Murray,Jan 13 2014,Australian Open Slam,Round of 32,Feliciano Lopez
64,32,Damir Dzumhur,$1.527,Feliciano Lopez,May 21 2014,French Open Slam,Round of 128,Feliciano Lopez
64,38,Daniel Gimeno-Traver,$2.096,Daniel Gimeno-Traver,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Feliciano Lopez
69,49,Ernests Gulbis,$2.403,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,Feliciano Lopez
57,32,Juan Monaco,$1.454,Feliciano Lopez,Jun 17 2013,Eastbourne,R16,Feliciano Lopez
71,39,Jeremy Chardy,$2.474,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Feliciano Lopez
66,28,Ricardas Berankis,$1.478,Feliciano Lopez,Jun 10 2013,London / Queen's Club,R64,Feliciano Lopez
66,32,Marin Cilic,$2.810,Marin Cilic,Jun 10 2013,London / Queen's Club,R16,Feliciano Lopez
68,12,Julien Benneteau,$1.884,Feliciano Lopez,Jun 10 2013,London / Queen's Club,R32,Feliciano Lopez
72,25,Jarkko Nieminen,$1.663,Feliciano Lopez,Jun 17 2013,Eastbourne,R32,Feliciano Lopez
58,31,Gilles Simon,$1.724,Feliciano Lopez,Jun 17 2013,Eastbourne,F,Feliciano Lopez
67,18,Ivan Dodig,$1.729,Feliciano Lopez,Jun 17 2013,Eastbourne,S,Feliciano Lopez
70,21,Fernando Verdasco,$1.729,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,Feliciano Lopez
50,36,Jan-Lennard Struff,$1.669,Feliciano Lopez,Jul 15 2013,Hamburg,R32,Feliciano Lopez
69,43,Florian Mayer,$2.394,Florian Mayer,Jul 15 2013,Hamburg,R16,Feliciano Lopez
