date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Mar 17 2014,$1.786,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=R419,Dominic Thiem,ATP World Tour Masters 1000 Miami,Tommy Robredo,Dominic Thiem,Tommy Robredo,R64,101,7,55,71,58,26,58,42,,,,,,,65,39,1,70,73,31,28,,100,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=R419
Mar 3 2014,$3.689,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=C977,Marin Cilic,ATP World Tour Masters 1000 Indian Wells,Tommy Robredo,Marin Cilic,Marin Cilic,R32,83,2,61,71,37,30,37,0,,,,,,,58,26,6,47,70,75,28,,33,,,,,,,73,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=C977
Mar 3 2014,$1.550,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=R419,Marinko Matosevic,ATP World Tour Masters 1000 Indian Wells,Tommy Robredo,Marinko Matosevic,Tommy Robredo,R64,153,9,57,78,50,20,50,33,,,,,,,66,32,8,57,79,52,21,,33,,,,,,,67,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=R419
Feb 17 2014,$1.343,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=A596,Pablo Andujar,Rio de Janeiro,Tommy Robredo,Pablo Andujar,Pablo Andujar,Q,61,2,41,58,29,35,29,0,,,,,,,41,33,0,78,65,72,41,,62,,,,,,,66,58,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=A596
Feb 17 2014,$1.165,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=R419,Dusan Lajovic,Rio de Janeiro,Tommy Robredo,Dusan Lajovic,Tommy Robredo,R16,68,2,46,88,66,40,66,55,,,,,,,76,56,1,39,60,32,11,,0,,,,,,,43,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=R419
Feb 17 2014,$1.292,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=R419,Pablo Carreno Busta,Rio de Janeiro,Tommy Robredo,Pablo Carreno Busta,Tommy Robredo,R32,97,6,51,88,59,20,59,25,,,,,,,74,34,2,55,80,46,11,,0,,,,,,,65,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=R419
Feb 10 2014,$2.289,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=6&p=F510,Fabio Fognini,Buenos Aires,Tommy Robredo,Fabio Fognini,Fabio Fognini,S,119,3,69,63,48,32,48,66,,,,,,,59,40,2,64,67,45,36,,38,,,,,,,59,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=6&p=F510
Feb 10 2014,$1.513,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=5&p=R419,Robin Haase,Buenos Aires,Tommy Robredo,Robin Haase,Tommy Robredo,Q,41,1,72,92,80,57,80,40,,,,,,,88,57,1,70,42,41,7,,0,,,,,,,42,11,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=5&p=R419
Feb 10 2014,$1.268,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=R419,Guido Pella,Buenos Aires,Tommy Robredo,Guido Pella,Tommy Robredo,R16,94,12,57,88,61,28,61,37,,,,,,,76,37,2,56,71,51,11,,50,,,,,,,62,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=R419
Feb 10 2014,$1.333,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=R419,Pablo Carreno Busta,Buenos Aires,Tommy Robredo,Pablo Carreno Busta,Tommy Robredo,R32,86,1,63,75,43,40,43,57,,,,,,,63,44,0,75,59,42,25,,25,,,,,,,55,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=R419
