date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Feb 10 2014,$1.568,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=4&p=H432,Marcos Baghdatis,Memphis,Lleyton Hewitt,Marcos Baghdatis,Lleyton Hewitt,R16,91,1,53,74,45,36,45,83,,,,,,,60,50,4,35,63,42,25,,66,,,,,,,50,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=4&p=H432
Jan 13 2014,$1.283,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704105,Andreas Seppi,Australian Open Slam,Lleyton Hewitt,Andreas Seppi,Andreas Seppi,Round of 128,258,23,51,84,44,30,44,54,54,61,23,40,172,139,64,36,17,59,70,55,16,56,39,67,59,8,11,177,132,64,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704105
Dec 30 2013,$6.053,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=7&p=H432,Roger Federer,Brisbane,Lleyton Hewitt,Roger Federer,Lleyton Hewitt,F,127,4,49,80,50,30,50,36,,,,,,,65,39,13,63,69,45,20,,10,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=7&p=H432
Dec 30 2013,$2.437,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=6&p=H432,Kei Nishikori,Brisbane,Lleyton Hewitt,Kei Nishikori,Lleyton Hewitt,S,150,7,44,88,52,27,52,16,,,,,,,68,36,12,60,72,50,11,,14,,,,,,,63,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=6&p=H432
Dec 30 2013,$1.325,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=H432,Marius Copil,Brisbane,Lleyton Hewitt,Marius Copil,Lleyton Hewitt,Q,72,5,52,84,65,26,65,80,,,,,,,75,47,7,50,73,31,16,,33,,,,,,,52,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=H432
Dec 30 2013,$1.550,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=H432,Feliciano Lopez,Brisbane,Lleyton Hewitt,Feliciano Lopez,Lleyton Hewitt,R16,99,11,53,76,54,19,54,50,,,,,,,66,38,8,58,80,34,23,,10,,,,,,,61,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=H432
Dec 30 2013,$1.368,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=3&p=H432,Thanasi Kokkinakis,Brisbane,Lleyton Hewitt,Thanasi Kokkinakis,Lleyton Hewitt,R32,101,4,51,84,53,35,53,26,,,,,,,69,42,8,59,64,48,15,,25,,,,,,,57,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=3&p=H432
Oct 14 2013,$1.940,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=3&p=PD07,Vasek Pospisil,Vienna,Lleyton Hewitt,Vasek Pospisil,Vasek Pospisil,R32,99,5,47,75,60,11,60,0,,,,,,,67,27,12,48,88,57,25,,25,,,,,,,72,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=3&p=PD07
Oct 6 2013,$1.636,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=SA93,Andreas Seppi,ATP World Tour Masters 1000 Shanghai,Lleyton Hewitt,Andreas Seppi,Andreas Seppi,R64,81,8,50,65,38,20,38,50,,,,,,,52,28,7,68,79,56,34,,40,,,,,,,72,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=SA93
Sep 30 2013,$1.493,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F510,Fabio Fognini,Beijing,Lleyton Hewitt,Fabio Fognini,Fabio Fognini,R16,59,3,52,47,28,37,28,100,,,,,,,38,39,0,37,62,59,52,,50,,,,,,,60,61,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F510
Sep 30 2013,$2.579,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=H432,Tommy Haas,Beijing,Lleyton Hewitt,Tommy Haas,Lleyton Hewitt,R32,102,7,42,74,46,39,46,44,,,,,,,58,45,8,64,60,42,25,,37,,,,,,,54,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=H432
Sep 13 2013,$1.400,http://www.tennisinsight.com/match_stats_popup.php?matchID=182033101,Lukasz Kubot,Davis Cup,Lleyton Hewitt,Lukasz Kubot,Lleyton Hewitt,Singles,118,7,48,87,57,49,57,67,,,,,,,71,51,3,59,51,47,13,,0,,,,,,,49,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=182033101
Aug 26 2013,$2.567,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634402,Mikhail Youzhny,US Open Slam,Lleyton Hewitt,Mikhail Youzhny,Mikhail Youzhny,Round of 16,238,8,52,63,53,35,53,67,55,54,39,67,165,128,58,42,9,59,65,48,37,47,71,47,63,26,37,170,136,58,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634402
Aug 26 2013,$1.306,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634304,Evgeny Donskoy,US Open Slam,Lleyton Hewitt,Evgeny Donskoy,Lleyton Hewitt,Round of 32,175,11,52,75,62,17,62,57,34,36,24,31,173,140,69,37,13,58,83,35,25,,14,41,47,6,14,177,140,63,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634304
Aug 26 2013,$8.377,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634208,Juan Martin del Potro,US Open Slam,Lleyton Hewitt,Juan Martin del Potro,Lleyton Hewitt,Round of 64,243,10,50,75,51,38,51,44,42,43,32,50,175,143,63,41,11,57,62,56,25,,55,41,70,21,36,194,152,59,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634208
Aug 26 2013,$1.370,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634115,Brian Baker,US Open Slam,Lleyton Hewitt,Brian Baker,Lleyton Hewitt,Round of 128,186,8,46,70,46,47,46,53,28,27,14,27,172,141,57,51,14,49,53,45,30,,58,55,72,12,25,178,146,49,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634115
Jul 29 2013,$1.610,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=2&p=H940,Ryan Harrison,Washington,Lleyton Hewitt,Ryan Harrison,Ryan Harrison,R64,79,1,50,70,53,19,53,16,,,,,,,62,31,9,54,80,53,29,,100,,,,,,,68,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=2&p=H940
Jul 22 2013,$2.144,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=6&p=I186,John Isner,Atlanta,Lleyton Hewitt,John Isner,John Isner,S,143,12,59,76,54,24,54,28,,,,,,,67,29,21,65,75,60,23,,33,,,,,,,70,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=6&p=I186
Jul 22 2013,$2.347,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=5&p=H432,Ivan Dodig,Atlanta,Lleyton Hewitt,Ivan Dodig,Lleyton Hewitt,Q,79,4,57,65,65,29,65,80,,,,,,,65,42,17,50,70,43,34,,66,,,,,,,57,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=5&p=H432
Jul 22 2013,$1.314,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=4&p=H432,Rhyne Williams,Atlanta,Lleyton Hewitt,Rhyne Williams,Lleyton Hewitt,R16,107,10,63,78,59,11,59,66,,,,,,,71,35,18,50,88,40,21,,25,,,,,,,64,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=4&p=H432
