date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Aug 26 2013,$1.407,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634307,Marcos Baghdatis,US Open Slam,Stan Wawrinka,Marcos Baghdatis,Stan Wawrinka,Round of 32,201,11,52,81,59,31,59,33,53,50,25,30,180,151,70,39,16,47,69,54,19,,22,47,48,25,37,186,140,61,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634307
Aug 26 2013,$1.213,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634213,Ivo Karlovic,US Open Slam,Stan Wawrinka,Ivo Karlovic,Stan Wawrinka,Round of 64,137,9,60,84,63,24,63,43,45,20,25,36,188,151,75,32,12,63,76,53,16,,50,35,25,37,59,202,172,68,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634213
Mar 17 2014,$1.381,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=D801,Alexandr Dolgopolov,ATP World Tour Masters 1000 Miami,Stan Wawrinka,Alexandr Dolgopolov,Alexandr Dolgopolov,R16,105,4,45,65,50,20,50,50,,,,,,,57,30,5,44,80,60,34,,66,,,,,,,69,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=D801
Mar 17 2014,$1.205,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=W367,Edouard Roger-Vasselin,ATP World Tour Masters 1000 Miami,Stan Wawrinka,Edouard Roger-Vasselin,Stan Wawrinka,R32,94,6,53,76,58,41,58,30,,,,,,,68,41,1,69,58,56,23,,33,,,,,,,58,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=W367
Mar 17 2014,$1.057,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=W367,Daniel Gimeno-Traver,ATP World Tour Masters 1000 Miami,Stan Wawrinka,Daniel Gimeno-Traver,Stan Wawrinka,R64,89,8,59,81,44,40,44,83,,,,,,,66,47,4,60,59,42,18,,33,,,,,,,52,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=W367
Aug 26 2013,$1.498,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634125,Radek Stepanek,US Open Slam,Stan Wawrinka,Radek Stepanek,Stan Wawrinka,Round of 128,152,7,51,67,59,42,59,46,36,24,11,18,189,154,63,45,1,66,58,48,33,,43,27,34,37,64,183,156,55,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634125
Aug 12 2013,$1.424,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=R419,Tommy Robredo,ATP World Tour Masters 1000 Cincinnati,Stan Wawrinka,Tommy Robredo,Tommy Robredo,R32,124,11,54,79,33,30,33,50,,,,,,,58,37,7,64,69,50,20,,30,,,,,,,62,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=R419
Aug 12 2013,$1.416,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=W367,Andreas Seppi,ATP World Tour Masters 1000 Cincinnati,Stan Wawrinka,Andreas Seppi,Stan Wawrinka,R64,68,8,61,90,60,25,60,16,,,,,,,78,43,5,50,75,38,9,,0,,,,,,,56,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=W367
Mar 3 2014,$1.264,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=A678,Kevin Anderson,ATP World Tour Masters 1000 Indian Wells,Stan Wawrinka,Kevin Anderson,Kevin Anderson,R16,140,5,42,73,45,28,45,23,,,,,,,57,39,12,63,71,42,26,,50,,,,,,,60,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=A678
Mar 3 2014,$1.127,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=W367,Andreas Seppi,ATP World Tour Masters 1000 Indian Wells,Stan Wawrinka,Andreas Seppi,Stan Wawrinka,R32,49,7,57,86,62,56,62,35,,,,,,,76,59,0,53,44,36,13,,0,,,,,,,40,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=W367
