p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
51,37,Martin Klizan,$1.900,Fabio Fognini,Jun 17 2013,Eastbourne,R16,Fabio Fognini
63,29,Alexander Ward,$1.178,Fabio Fognini,Jul 8 2013,Stuttgart,R32,Fabio Fognini
77,45,Ivan Dodig,$2.279,Ivan Dodig,Jun 17 2013,Eastbourne,Q,Fabio Fognini
42,37,Leonardo Mayer,$1.388,Fabio Fognini,Jul 8 2013,Stuttgart,R16,Fabio Fognini
40,38,Roberto Bautista Agut,$1.421,Fabio Fognini,Jul 8 2013,Stuttgart,S,Fabio Fognini
58,28,Tommy Haas,$3.071,Fabio Fognini,Jul 8 2013,Stuttgart,Q,Fabio Fognini
57,52,Grigor Dimitrov,$3.375,Grigor Dimitrov,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Fabio Fognini
59,38,Philipp Kohlschreiber,$2.178,Fabio Fognini,Jul 8 2013,Stuttgart,F,Fabio Fognini
46,36,Albert Ramos,$1.602,Fabio Fognini,Jul 15 2013,Hamburg,R32,Fabio Fognini
65,46,Nicolas Almagro,$3.075,Nicolas Almagro,Oct 21 2013,Valencia,Q,Fabio Fognini
54,32,Marcel Granollers,$2.067,Fabio Fognini,Oct 21 2013,Valencia,R16,Fabio Fognini
64,42,Yuki Bhambri,$1.724,Yuki Bhambri,Dec 30 2013,Chennai,R16,Fabio Fognini
59,20,Aljaz Bedene,$1.228,Fabio Fognini,Feb 3 2014,Vina del Mar,R16,Fabio Fognini
47,40,Marcel Granollers,$1.377,Fabio Fognini,Jul 15 2013,Hamburg,R16,Fabio Fognini
52,38,Thiemo de Bakker,$1.340,Fabio Fognini,Jul 22 2013,Umag,R16,Fabio Fognini
43,31,Martin Klizan,$1.383,Fabio Fognini,Jul 22 2013,Umag,Q,Fabio Fognini
50,33,Tommy Haas,$2.571,Fabio Fognini,Jul 15 2013,Hamburg,Q,Fabio Fognini
56,36,Nicolas Almagro,$2.207,Fabio Fognini,Jul 15 2013,Hamburg,S,Fabio Fognini
57,35,Federico Delbonis,$1.399,Fabio Fognini,Jul 15 2013,Hamburg,F,Fabio Fognini
66,63,Tommy Robredo,$1.559,Tommy Robredo,Jul 22 2013,Umag,F,Fabio Fognini
52,45,Gael Monfils,$1.559,Fabio Fognini,Jul 22 2013,Umag,S,Fabio Fognini
58,35,Jeremy Chardy,$1.423,Fabio Fognini,Feb 3 2014,Vina del Mar,Q,Fabio Fognini
62,39,Leonardo Mayer,$1.268,Fabio Fognini,Feb 10 2014,Buenos Aires,R16,Fabio Fognini
49,40,Marcos Baghdatis,$2.307,Fabio Fognini,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Fabio Fognini
54,15,Leonardo Mayer,$1.298,Fabio Fognini,Feb 3 2014,Vina del Mar,F,Fabio Fognini
65,41,Nicolas Almagro,$1.806,Fabio Fognini,Feb 3 2014,Vina del Mar,S,Fabio Fognini
43,45,Julian Reister,$1.150,Fabio Fognini,Feb 10 2014,Buenos Aires,R32,Fabio Fognini
54,47,Ernests Gulbis,$2.523,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Fabio Fognini
58,65,Radek Stepanek,$2.178,Radek Stepanek,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Fabio Fognini
55,31,Pablo Andujar,$1.296,Fabio Fognini,Feb 10 2014,Buenos Aires,Q,Fabio Fognini
64,25,Dominic Inglot,$1.219,Fabio Fognini,Sep 16 2013,St. Petersburg,R32,Fabio Fognini
