date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jul 22 2013,$1.124,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=BC72,Daniel Brands,Gstaad,Roger Federer,Daniel Brands,Daniel Brands,R16,66,8,52,73,51,25,51,0,,,,,,,63,31,11,77,75,46,26,,33,,,,,,,68,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=BC72
Jul 15 2013,$1.149,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=6&p=D874,Federico Delbonis,Hamburg,Roger Federer,Federico Delbonis,Federico Delbonis,S,113,5,57,78,53,17,53,50,,,,,,,68,23,3,56,82,68,21,,14,,,,,,,76,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=6&p=D874
Jul 15 2013,$1.202,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=F324,Florian Mayer,Hamburg,Roger Federer,Florian Mayer,Roger Federer,Q,120,2,58,73,45,39,45,40,,,,,,,61,39,6,57,60,59,26,,55,,,,,,,60,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=F324
May 5 2014,$1.079,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F324,Lukas Rosol,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Lukas Rosol,Roger Federer,R16,58,6,58,90,40,44,40,100,,,,,,,69,53,0,58,56,33,9,,25,,,,,,,46,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F324
May 5 2014,$1.129,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F324,Radek Stepanek,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Radek Stepanek,Roger Federer,R32,52,2,78,87,44,44,44,100,,,,,,,78,48,0,60,56,43,12,,0,,,,,,,51,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F324
May 5 2014,$1.011,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973104,Andrey Golubev,Davis Cup,Roger Federer,Andrey Golubev,Roger Federer,Reverse Singles,133,4,68,75,60,33,60,42,,,,,,,70,45,5,58,67,40,25,,67,,,,,,,55,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973104
Jul 15 2013,$1.051,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=F324,Jan Hajek,Hamburg,Roger Federer,Jan Hajek,Roger Federer,R16,72,7,51,70,71,44,71,23,,,,,,,70,45,2,63,55,52,30,,25,,,,,,,54,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=F324
Jul 15 2013,$1.133,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=F324,Daniel Brands,Hamburg,Roger Federer,Daniel Brands,Roger Federer,R32,86,9,60,83,60,40,60,50,,,,,,,74,41,5,64,59,55,16,,50,,,,,,,58,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=F324
Apr 4 2014,$1.019,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973102,Mikhail Kukushkin,Davis Cup,Roger Federer,Mikhail Kukushkin,Roger Federer,Singles,112,11,67,83,62,36,62,44,,,,,,,76,42,6,58,64,50,17,,0,,,,,,,58,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=184973102
Apr 4 2014,$1.177,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552,Kei Nishikori,ATP World Tour Masters 1000 Miami,Roger Federer,Kei Nishikori,Kei Nishikori,Q,129,7,53,70,48,35,48,44,,,,,,,60,40,6,65,64,48,29,,41,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
