p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
56,32,Jo-Wilfried Tsonga,$3.222,Gilles Simon,Sep 30 2013,Metz,F,Gilles Simon
75,58,Richard Gasquet,$1.976,Richard Gasquet,Sep 24 2012,Bangkok,F,Gilles Simon
60,44,Rafael Nadal,$19.367,Rafael Nadal,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Gilles Simon
57,34,Jurgen Melzer,$1.270,Gilles Simon,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Gilles Simon
60,38,Lukasz Kubot,$1.355,Lukasz Kubot,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Gilles Simon
20,30,Benoit Paire,$1.583,Gilles Simon,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Gilles Simon
43,40,Filippo Volandri,$1.516,Gilles Simon,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Gilles Simon
51,37,Janko Tipsarevic,$1.958,Gilles Simon,Oct 21 2012,Valencia,R32,Gilles Simon
57,38,Dominic Thiem,$1.611,Gilles Simon,May 19 2014,Nice,R16,Gilles Simon
49,34,Carlos Berlocq,$2.096,Gilles Simon,May 19 2014,Nice,Q,Gilles Simon
77,38,Jerzy Janowicz,$1.642,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,S,Gilles Simon
66,36,Marcel Granollers,$1.573,Marcel Granollers,Oct 21 2012,Valencia,R16,Gilles Simon
49,29,Marcos Baghdatis,$1.668,Gilles Simon,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,Gilles Simon
57,31,Victor Hanescu,$1.135,Gilles Simon,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Gilles Simon
0,0,Kei Nishikori,$1.790,Gilles Simon,Oct 29 2012,ATP World Tour Masters 1000 Paris,R16,Gilles Simon
62,39,Sam Querrey,$1.437,Gilles Simon,Jun 17 2013,French Open Slam,Round of 32,Gilles Simon
56,35,Tomas Berdych,$3.670,Gilles Simon,Oct 29 2012,ATP World Tour Masters 1000 Paris,Q,Gilles Simon
85,36,Feliciano Lopez,$2.360,Feliciano Lopez,Aug 5 2013,Wimbledon Slam,Round of 128,Gilles Simon
71,33,Daniel Brands,$2.942,Gilles Simon,Jan 13 2014,Australian Open Slam,Round of 128,Gilles Simon
61,37,Alejandro Falla,$1.294,Gilles Simon,Dec 31 2012,Brisbane,R16,Gilles Simon
66,42,Marcos Baghdatis,$2.340,Marcos Baghdatis,Dec 31 2012,Brisbane,Q,Gilles Simon
75,31,Jo-Wilfried Tsonga,$5.478,Jo-Wilfried Tsonga,Feb 10 2014,Australian Open Slam,Round of 32,Gilles Simon
68,42,Roger Federer,$14.400,Roger Federer,Jun 17 2013,French Open Slam,Round of 16,Gilles Simon
61,39,Benoit Paire,$1.543,Benoit Paire,Feb 4 2013,Montpellier,Q,Gilles Simon
56,25,Arnau Brugues-Davi,$1.109,Gilles Simon,Feb 4 2013,Montpellier,R16,Gilles Simon
75,40,Julien Benneteau,$2.207,Julien Benneteau,Feb 11 2013,Rotterdam,S,Gilles Simon
56,41,Marin Cilic,$4.292,Gilles Simon,Jan 13 2014,Australian Open Slam,Round of 64,Gilles Simon
56,29,Daniel Brands,$1.619,Gilles Simon,Feb 11 2013,Rotterdam,R32,Gilles Simon
47,30,Ante Pavic,$1.096,Gilles Simon,May 21 2014,French Open Slam,Round of 128,Gilles Simon
46,32,Matteo Viola,$1.147,Gilles Simon,Feb 11 2013,Rotterdam,R16,Gilles Simon
51,33,Martin Klizan,$1.387,Gilles Simon,Feb 11 2013,Rotterdam,Q,Gilles Simon
38,38,Roberto Bautista Agut,$1.252,Gilles Simon,Feb 18 2013,Marseille,R16,Gilles Simon
46,32,Alejandro Gonzalez,$1.158,Gilles Simon,May 21 2014,French Open Slam,Round of 64,Gilles Simon
76,46,Jo-Wilfried Tsonga,$2.791,Jo-Wilfried Tsonga,Feb 18 2013,Marseille,S,Gilles Simon
53,39,Julien Benneteau,$1.446,Gilles Simon,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Gilles Simon
58,32,Robin Haase,$1.319,Gilles Simon,Feb 18 2013,Marseille,R32,Gilles Simon
64,32,Juan Martin Del Potro,$3.860,Gilles Simon,Feb 18 2013,Marseille,Q,Gilles Simon
49,47,Paolo Lorenzi,$1.219,Gilles Simon,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Gilles Simon
70,45,Lukas Rosol,$1.479,Lukas Rosol,Apr 22 2013,Bucharest,S,Gilles Simon
51,30,Daniel Brands,$1.398,Gilles Simon,Apr 22 2013,Bucharest,Q,Gilles Simon
63,40,Andy Murray,$5.209,Andy Murray,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Gilles Simon
49,44,Mikhail Youzhny,$2.148,Gilles Simon,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Gilles Simon
57,32,Jeremy Chardy,$1.669,Gilles Simon,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Gilles Simon
77,54,Roger Federer,$5.262,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Gilles Simon
63,37,Filippo Volandri,$1.452,Gilles Simon,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Gilles Simon
50,38,Guillaume Rufin,$1.443,Gilles Simon,May 19 2013,Nice,R16,Gilles Simon
