p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
67,38,Xavier Malisse,$3.375,Xavier Malisse,Jun 24 2013,s-Hertogenbosch,Q,Roberto Bautista Agut
56,32,Tobias Kamke,$1.868,Roberto Bautista Agut,Jul 8 2013,Stuttgart,R32,Roberto Bautista Agut
61,32,Martin Klizan,$2.494,Roberto Bautista Agut,Jul 8 2013,Stuttgart,R16,Roberto Bautista Agut
43,41,Michael Berrer,$1.357,Roberto Bautista Agut,Jul 8 2013,Stuttgart,Q,Roberto Bautista Agut
54,39,Fabio Fognini,$2.076,Roberto Bautista Agut,Feb 11 2013,Australian Open Slam,Round of 128,Roberto Bautista Agut
52,23,Henri Laaksonen,$1.279,Roberto Bautista Agut,Jul 28 2013,Gstaad,R32,Roberto Bautista Agut
79,32,Victor Hanescu,$1.827,Victor Hanescu,Jul 28 2013,Gstaad,R16,Roberto Bautista Agut
56,27,Gilles Muller,$1.279,Roberto Bautista Agut,May 27 2013,French Open Slam,Round of 128,Roberto Bautista Agut
47,34,Martin Klizan,$1.813,Roberto Bautista Agut,Aug 18 2013,Winston-Salem,R32,Roberto Bautista Agut
70,43,Tomas Berdych,$5.448,Tomas Berdych,Sep 23 2013,Bangkok,R16,Roberto Bautista Agut
56,37,Janko Tipsarevic,$2.603,Roberto Bautista Agut,Sep 16 2013,St. Petersburg,R32,Roberto Bautista Agut
60,41,Fernando Verdasco,$2.690,Fernando Verdasco,Jul 28 2013,Hamburg,R32,Roberto Bautista Agut
68,35,Jurgen Melzer,$2.279,Jurgen Melzer,Feb 11 2013,Australian Open Slam,Round of 64,Roberto Bautista Agut
59,41,Evgeny Donskoy,$1.752,Roberto Bautista Agut,Sep 16 2013,St. Petersburg,R16,Roberto Bautista Agut
69,40,Jeremy Chardy,$3.309,Jeremy Chardy,Jun 16 2013,French Open Slam,Round of 64,Roberto Bautista Agut
66,39,David Ferrer,$7.538,David Ferrer,Jul 8 2013,Wimbledon Slam,Round of 64,Roberto Bautista Agut
44,25,Frederik Nielsen,$1.313,Roberto Bautista Agut,Aug 18 2013,Winston-Salem,R64,Roberto Bautista Agut
58,32,Teymuraz Gabashvili,$1.574,Roberto Bautista Agut,Jun 24 2013,Wimbledon Slam,Round of 128,Roberto Bautista Agut
56,22,Grigor Dimitrov,$2.407,Roberto Bautista Agut,Sep 30 2013,Beijing,R32,Roberto Bautista Agut
79,37,John Isner,$2.781,John Isner,Sep 30 2013,Beijing,R16,Roberto Bautista Agut
67,34,Kevin Anderson,$2.230,Roberto Bautista Agut,Oct 21 2013,Valencia,R32,Roberto Bautista Agut
61,33,Marco Chiudinelli,$1.287,Roberto Bautista Agut,Sep 23 2013,Bangkok,R32,Roberto Bautista Agut
66,37,Alexander Kudryavtsev,$1.253,Alexander Kudryavtsev,Jan 6 2014,Chennai,R32,Roberto Bautista Agut
57,30,Daniel Gimeno-Traver,$1.467,Roberto Bautista Agut,Jan 6 2014,Auckland,R32,Roberto Bautista Agut
62,43,Dmitry Tursunov,$2.004,Dmitry Tursunov,Oct 21 2013,Valencia,R16,Roberto Bautista Agut
57,30,Benoit Paire,$2.139,Roberto Bautista Agut,Jan 6 2014,Auckland,R16,Roberto Bautista Agut
52,29,Jack Sock,$1.735,Roberto Bautista Agut,Jan 6 2014,Auckland,Q,Roberto Bautista Agut
51,29,Jerzy Janowicz,$1.764,Roberto Bautista Agut,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Roberto Bautista Agut
65,41,Fabio Fognini,$1.735,Fabio Fognini,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Roberto Bautista Agut
67,34,Ernests Gulbis,$3.136,Ernests Gulbis,Feb 17 2014,Marseille,R16,Roberto Bautista Agut
54,49,Fabio Fognini,$2.923,Fabio Fognini,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Roberto Bautista Agut
63,32,Dustin Brown,$1.474,Roberto Bautista Agut,Feb 17 2014,Marseille,R32,Roberto Bautista Agut
70,33,John Isner,$2.752,John Isner,Jan 13 2014,Auckland,S,Roberto Bautista Agut
55,25,Steve Johnson,$1.452,Roberto Bautista Agut,Mar 17 2014,ATP World Tour Masters 1000 Miami,R128,Roberto Bautista Agut
50,33,Vasek Pospisil,$1.170,Roberto Bautista Agut,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Roberto Bautista Agut
65,32,Tommy Robredo,$2.312,Roberto Bautista Agut,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Roberto Bautista Agut
59,47,Kei Nishikori,$1.967,Kei Nishikori,Apr 21 2014,Barcelona,R32,Roberto Bautista Agut
56,31,Lukasz Kubot,$1.165,Roberto Bautista Agut,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Roberto Bautista Agut
64,34,Fernando Verdasco,$2.067,Roberto Bautista Agut,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Roberto Bautista Agut
64,30,Santiago Giraldo,$1.703,Roberto Bautista Agut,May 5 2014,ATP World Tour Masters 1000 Madrid,Q,Roberto Bautista Agut
66,49,Rafael Nadal,$13.912,Rafael Nadal,May 5 2014,ATP World Tour Masters 1000 Madrid,S,Roberto Bautista Agut
