p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
59,34,Dusan Lajovic,$1.151,Alexandr Dolgopolov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Alexandr Dolgopolov
57,30,Stan Wawrinka,$3.416,Alexandr Dolgopolov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Alexandr Dolgopolov
53,31,Ernests Gulbis,$2.159,Alexandr Dolgopolov,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Alexandr Dolgopolov
71,42,Tomas Berdych,$3.447,Tomas Berdych,Mar 17 2014,ATP World Tour Masters 1000 Miami,Q,Alexandr Dolgopolov
63,31,Fabio Fognini,$1.786,Alexandr Dolgopolov,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Alexandr Dolgopolov
68,32,Albert Montanes,$1.521,Albert Montanes,Apr 21 2014,Barcelona,R32,Alexandr Dolgopolov
60,57,Guillermo Garcia-Lopez,$1.275,Guillermo Garcia-Lopez,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Alexandr Dolgopolov
70,39,Ernests Gulbis,$2.067,Ernests Gulbis,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Alexandr Dolgopolov
80,39,Marinko Matosevic,$1.341,Marinko Matosevic,Feb 18 2013,Memphis,Q,Alexandr Dolgopolov
44,36,Nikolay Davydenko,$3.261,Alexandr Dolgopolov,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Alexandr Dolgopolov
69,36,Carlos Berlocq,$1.395,Carlos Berlocq,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Alexandr Dolgopolov
67,49,Tommy Haas,$2.270,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Alexandr Dolgopolov
53,25,Bernard Tomic,$1.627,Alexandr Dolgopolov,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Alexandr Dolgopolov
68,34,Jo-Wilfried Tsonga,$1.922,Jo-Wilfried Tsonga,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Alexandr Dolgopolov
68,46,Ivan Dodig,$1.597,Ivan Dodig,Feb 25 2013,Delray Beach,R32,Alexandr Dolgopolov
53,46,Juan Martin Del Potro,$5.335,Juan Martin Del Potro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Alexandr Dolgopolov
56,17,Sergiy Stakhovsky,$1.323,Alexandr Dolgopolov,Apr 29 2013,Munich,R32,Alexandr Dolgopolov
67,24,Dmitry Tursunov,$1.300,Alexandr Dolgopolov,Apr 29 2013,Munich,R16,Alexandr Dolgopolov
66,40,Ivan Dodig,$1.530,Ivan Dodig,Apr 29 2013,Munich,Q,Alexandr Dolgopolov
67,35,Robin Haase,$1.550,Robin Haase,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Alexandr Dolgopolov
62,33,Santiago Giraldo,$1.646,Alexandr Dolgopolov,Jun 10 2013,London / Queen's Club,R32,Alexandr Dolgopolov
0,0,Stan Wawrinka,$2.474,Alexandr Dolgopolov,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Alexandr Dolgopolov
53,31,Matteo Viola,$1.178,Alexandr Dolgopolov,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Alexandr Dolgopolov
72,42,Novak Djokovic,$11.071,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Alexandr Dolgopolov
71,43,Somdev Devvarman,$1.521,Somdev Devvarman,Jul 29 2013,Washington,R32,Alexandr Dolgopolov
53,38,Kevin Anderson,$3.178,Alexandr Dolgopolov,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Alexandr Dolgopolov
68,39,Tomas Berdych,$4.032,Tomas Berdych,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Alexandr Dolgopolov
79,30,Ryan Harrison,$1.724,Ryan Harrison,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Alexandr Dolgopolov
