date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 5 2014,$1.876,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=G858,Alexandr Dolgopolov,ATP World Tour Masters 1000 Madrid,Ernests Gulbis,Alexandr Dolgopolov,Ernests Gulbis,R32,77,4,66,77,55,33,55,33,,,,,,,70,39,2,58,66,52,22,,14,,,,,,,60,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=G858
May 5 2014,$1.292,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G858,Jerzy Janowicz,ATP World Tour Masters 1000 Madrid,Ernests Gulbis,Jerzy Janowicz,Ernests Gulbis,R64,136,18,57,75,52,25,52,42,,,,,,,65,36,11,67,74,39,24,,28,,,,,,,63,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G858
Apr 21 2014,$2.317,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=6&p=N552,Kei Nishikori,Barcelona,Ernests Gulbis,Kei Nishikori,Kei Nishikori,S,86,5,59,64,44,19,44,0,,,,,,,56,26,1,62,80,63,35,,30,,,,,,,74,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=6&p=N552
Apr 21 2014,$1.373,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=G858,Teymuraz Gabashvili,Barcelona,Ernests Gulbis,Teymuraz Gabashvili,Ernests Gulbis,Q,88,1,70,73,68,37,68,37,,,,,,,72,47,0,63,62,34,26,,0,,,,,,,52,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=G858
Apr 21 2014,$1.506,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=G858,Albert Montanes,Barcelona,Ernests Gulbis,Albert Montanes,Ernests Gulbis,R16,75,6,70,77,60,35,60,66,,,,,,,72,46,0,56,64,37,22,,100,,,,,,,53,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=G858
Apr 21 2014,$1.506,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=G858,Daniel Gimeno-Traver,Barcelona,Ernests Gulbis,Daniel Gimeno-Traver,Ernests Gulbis,R32,97,4,63,83,56,30,56,75,,,,,,,73,39,7,65,70,42,16,,66,,,,,,,60,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=G858
Apr 13 2014,$1.806,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=D801,Alexandr Dolgopolov,ATP World Tour Masters 1000 Monte Carlo,Ernests Gulbis,Alexandr Dolgopolov,Alexandr Dolgopolov,R64,82,7,51,70,35,16,35,50,,,,,,,53,31,5,44,83,56,30,,36,,,,,,,68,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=D801
Mar 17 2014,$1.399,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=B747,Julien Benneteau,ATP World Tour Masters 1000 Miami,Ernests Gulbis,Julien Benneteau,Julien Benneteau,R64,142,14,48,70,55,21,55,50,,,,,,,62,33,7,57,78,51,29,,33,,,,,,,66,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=B747
Mar 3 2014,$1.735,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=I186,John Isner,ATP World Tour Masters 1000 Indian Wells,Ernests Gulbis,John Isner,John Isner,Q,109,7,54,75,53,18,53,25,,,,,,,65,28,13,73,81,42,24,,16,,,,,,,71,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=I186
Mar 3 2014,$1.387,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=G858,Roberto Bautista Agut,ATP World Tour Masters 1000 Indian Wells,Ernests Gulbis,Roberto Bautista Agut,Ernests Gulbis,R16,145,7,52,75,48,31,48,33,,,,,,,62,44,1,58,68,37,25,,42,,,,,,,55,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=G858
Mar 3 2014,$1.883,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=G858,Grigor Dimitrov,ATP World Tour Masters 1000 Indian Wells,Ernests Gulbis,Grigor Dimitrov,Ernests Gulbis,R32,115,10,63,75,51,33,51,42,,,,,,,67,39,5,66,66,48,24,,50,,,,,,,60,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=G858
Mar 3 2014,$1.170,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=G858,Joao Sousa,ATP World Tour Masters 1000 Indian Wells,Ernests Gulbis,Joao Sousa,Ernests Gulbis,R64,65,10,59,100,64,23,64,37,,,,,,,85,40,1,50,76,41,0,,0,,,,,,,59,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=G858
Feb 24 2014,$2.125,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=D875,Grigor Dimitrov,Acapulco,Ernests Gulbis,Grigor Dimitrov,Grigor Dimitrov,Q,160,15,63,76,21,29,21,41,,,,,,,56,40,4,62,70,41,23,,71,,,,,,,59,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=D875
Feb 24 2014,$1.220,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=G858,David Goffin,Acapulco,Ernests Gulbis,David Goffin,Ernests Gulbis,R16,140,22,64,75,42,30,42,30,,,,,,,63,39,2,50,69,51,24,,16,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=G858
Feb 24 2014,$1.287,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=G858,Yen-Hsun Lu,Acapulco,Ernests Gulbis,Yen-Hsun Lu,Ernests Gulbis,R32,60,4,46,91,39,64,39,71,,,,,,,63,60,0,65,35,46,8,,0,,,,,,,39,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=G858
Feb 17 2014,$2.327,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=7&p=G858,Jo-Wilfried Tsonga,Marseille,Ernests Gulbis,Jo-Wilfried Tsonga,Ernests Gulbis,F,94,14,62,85,64,20,64,9,,,,,,,77,31,8,67,80,45,14,,0,,,,,,,68,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=7&p=G858
Feb 17 2014,$2.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=6&p=G858,Richard Gasquet,Marseille,Ernests Gulbis,Richard Gasquet,Ernests Gulbis,S,65,15,66,93,43,41,43,75,,,,,,,77,43,3,77,58,50,6,,0,,,,,,,56,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=6&p=G858
Feb 17 2014,$1.446,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=5&p=G858,Nicolas Mahut,Marseille,Ernests Gulbis,Nicolas Mahut,Ernests Gulbis,Q,81,9,73,92,66,34,66,16,,,,,,,85,37,6,65,65,58,7,,0,,,,,,,62,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=5&p=G858
Feb 17 2014,$1.432,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=4&p=G858,Roberto Bautista Agut,Marseille,Ernests Gulbis,Roberto Bautista Agut,Ernests Gulbis,R16,135,23,70,78,41,25,41,22,,,,,,,67,34,3,71,74,44,21,,16,,,,,,,65,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=4&p=G858
