tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Cincinnati,Mikhail Youzhny,Andy Murray,Andy Murray,R32,71,1,64,61,25,28,25,50,,,,,,,48,32,1,69,71,57,38,,71,,,,,,,67,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=MC10
Gstaad,Mikhail Youzhny,Paul-Henri Mathieu,Mikhail Youzhny,R32,120,13,60,76,62,26,62,42,,,,,,,70,41,3,55,73,40,24,,33,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=3&p=Y061
ATP World Tour Masters 1000 Shanghai,Mikhail Youzhny,Pablo Andujar,Pablo Andujar,R64,34,4,50,55,44,11,44,0,,,,,,,50,29,1,52,88,50,44,,66,,,,,,,70,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=A596
Bangkok,Mikhail Youzhny,Denis Istomin,Mikhail Youzhny,R16,79,2,60,82,63,29,63,23,,,,,,,75,45,4,56,70,32,17,,0,,,,,,,54,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=4&p=Y061
Valencia,Mikhail Youzhny,Bernard Tomic,Mikhail Youzhny,R32,98,10,51,79,40,40,40,44,,,,,,,60,43,8,63,59,52,20,,20,,,,,,,56,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=Y061
Valencia,Mikhail Youzhny,Jarkko Nieminen,Mikhail Youzhny,Q,141,6,61,82,52,28,52,33,,,,,,,70,33,2,77,71,52,17,,0,,,,,,,66,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=Y061
Valencia,Mikhail Youzhny,Philipp Kohlschreiber,Mikhail Youzhny,R16,69,4,62,76,56,21,56,100,,,,,,,69,33,7,54,78,52,23,,20,,,,,,,66,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=Y061
Valencia,Mikhail Youzhny,Dmitry Tursunov,Mikhail Youzhny,S,75,7,72,77,50,48,50,44,,,,,,,70,50,2,63,51,47,22,,50,,,,,,,50,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=6&p=Y061
Doha,Mikhail Youzhny,Nikolay Davydenko,Nikolay Davydenko,R16,101,3,54,57,61,23,61,0,,,,,,,59,29,1,64,76,58,42,,33,,,,,,,70,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=4&p=D402
Doha,Mikhail Youzhny,Benjamin Becker,Mikhail Youzhny,R32,138,5,64,69,56,17,56,66,,,,,,,65,40,12,50,82,37,30,,25,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=3&p=Y061
Zagreb,Mikhail Youzhny,Ivan Dodig,Mikhail Youzhny,Q,65,5,66,80,55,26,55,60,,,,,,,72,43,1,56,73,35,19,,0,,,,,,,56,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=5&p=Y061
Zagreb,Mikhail Youzhny,Igor Sijsling,Mikhail Youzhny,R16,69,5,60,90,52,37,52,27,,,,,,,75,44,3,59,62,44,9,,0,,,,,,,55,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=4&p=Y061
ATP World Tour Masters 1000 Monte Carlo,Mikhail Youzhny,Novak Djokovic,Novak Djokovic,R32,135,3,54,62,42,29,42,50,,,,,,,53,36,4,54,70,56,37,,50,,,,,,,63,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=D643
