tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Acapulco,Grigor Dimitrov,Ernests Gulbis,Grigor Dimitrov,Q,160,4,62,70,41,23,41,71,,,,,,,59,43,15,63,76,21,29,,41,,,,,,,56,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=D875
Acapulco,Grigor Dimitrov,Kevin Anderson,Grigor Dimitrov,F,178,7,68,69,69,28,69,33,,,,,,,69,34,13,68,71,51,30,,40,,,,,,,65,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=7&p=D875
French Open Slam,Grigor Dimitrov,Lucas Pouille,Grigor Dimitrov,Round of 64,108,5,49,82,62,37,62,50,37,33,"
								","
								",192,149,72,45,1,60,63,42,18,,17,15,39,"
                            ","
                            ",176,147,55,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224202
ATP World Tour Masters 1000 Rome,Grigor Dimitrov,Edouard Roger-Vasselin,Grigor Dimitrov,R64,127,9,55,73,55,29,55,33,,,,,,,65,38,2,68,70,42,26,,28,,,,,,,61,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=D875
ATP World Tour Masters 1000 Rome,Grigor Dimitrov,Ivo Karlovic,Grigor Dimitrov,R32,73,8,61,89,65,15,65,100,,,,,,,80,21,15,80,84,54,10,,0,,,,,,,78,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=D875
Bucharest,Grigor Dimitrov,Lukas Rosol,Grigor Dimitrov,F,81,4,58,83,54,40,54,44,,,,,,,71,48,1,62,59,40,16,,50,,,,,,,51,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=7&p=D875
ATP World Tour Masters 1000 Madrid,Grigor Dimitrov,Marius Copil,Grigor Dimitrov,R32,131,6,60,80,60,28,60,25,,,,,,,72,32,10,57,71,60,19,,25,,,,,,,67,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=D875
ATP World Tour Masters 1000 Madrid,Grigor Dimitrov,Tomas Berdych,Tomas Berdych,R16,110,12,62,71,57,26,57,25,,,,,,,66,32,7,58,73,59,28,,42,,,,,,,67,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=BA47
ATP World Tour Masters 1000 Madrid,Grigor Dimitrov,Pablo Carreno Busta,Grigor Dimitrov,R64,71,3,60,77,55,40,55,66,,,,,,,68,47,1,60,59,42,22,,100,,,,,,,52,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=D875
ATP World Tour Masters 1000 Rome,Grigor Dimitrov,Tommy Haas,Grigor Dimitrov,Q,36,2,62,73,88,52,88,25,,,,,,,79,50,0,71,47,55,26,,0,,,,,,,50,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D875
ATP World Tour Masters 1000 Rome,Grigor Dimitrov,Tomas Berdych,Grigor Dimitrov,R16,145,8,65,82,48,32,48,38,,,,,,,70,40,7,62,67,45,17,,33,,,,,,,59,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D875
French Open Slam,Grigor Dimitrov,Alejandro Falla,Grigor Dimitrov,Round of 128,58,2,59,67,48,47,48,100,14,16,"
								","
								",,,59,51,1,54,53,44,33,,20,6,15,"
                            ","
                            ",,,49,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224104
French Open Slam,Grigor Dimitrov,Novak Djokovic,Novak Djokovic,Round of 32,104,0,69,57,35,19,35,20,18,48,"
                            ","
                            ",177,162,50,27,2,68,81,57,43,65,44,13,22,"
								","
								",177,148,73,50,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224301
Wimbledon Slam,Grigor Dimitrov,Simone Bolelli,Grigor Dimitrov,Round of 128,82,15,73,93,59,33,59,45,26,9,"
								","
								",193,165,84,45,4,59,67,37,7,,0,20,28,"
                            ","
                            ",188,154,55,16,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604129
