matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Houston,John Isner,Juan Monaco,John Isner,S,122,9,6,57,71,48,26,48,66,,,,,,,1,5,67,73,46,28,46,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=6&p=I186
,Houston,John Isner,Nicolas Almagro,John Isner,F,81,7,1,57,75,60,31,60,33,,,,,,,5,4,55,68,53,25,53,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=7&p=I186
,ATP World Tour Masters 1000 Monte Carlo,Ernests Gulbis,John Isner,Ernests Gulbis,R64,109,11,2,64,85,50,36,50,30,,,,,,,6,0,64,63,36,14,36,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=G858
,ATP World Tour Masters 1000 Madrid,John Isner,Guillermo Garcia-Lopez,John Isner,R64,102,13,0,67,83,82,17,82,25,,,,,,,3,4,64,82,51,16,51,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=I186
,ATP World Tour Masters 1000 Madrid,Pablo Andujar,John Isner,Pablo Andujar,R32,75,0,1,76,78,64,29,64,40,,,,,,,5,0,81,70,45,21,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=A596
,ATP World Tour Masters 1000 Rome,Denis Istomin,John Isner,Denis Istomin,R64,131,8,3,66,84,39,16,39,50,,,,,,,10,1,69,83,55,16,55,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=I165
,Nice,Robin Haase,John Isner,Robin Haase,R16,114,5,1,60,65,52,31,52,66,,,,,,,14,5,66,68,50,34,50,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=4&p=H756
,Newport,John Isner,Ryan Harrison,John Isner,R32,80,11,2,61,93,65,36,65,28,,,,,,,4,5,57,63,50,6,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=3&p=I186
,Newport,John Isner,Adrian Mannarino,John Isner,R16,60,13,0,72,94,69,19,69,100,,,,,,,2,6,55,80,36,5,36,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=4&p=I186
,Newport,John Isner,Ivo Karlovic,John Isner,Q,98,23,1,72,80,71,22,71,0,,,,,,,14,3,70,77,59,19,59,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=5&p=I186
