tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Valencia,Nicolas Almagro,Sam Querrey,Nicolas Almagro,R16,111,3,52,79,60,25,60,50,,,,,,,70,40,9,57,75,38,20,,50,,,,,,,59,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=A479
Buenos Aires,Nicolas Almagro,Federico Delbonis,Nicolas Almagro,Q,70,8,73,87,78,32,78,50,,,,,,,84,35,0,56,67,61,12,,0,,,,,,,65,15,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=5&p=A479
Stockholm,Nicolas Almagro,Lleyton Hewitt,Nicolas Almagro,Q,67,11,48,76,56,38,56,66,,,,,,,66,50,4,50,61,38,23,,25,,,,,,,50,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2012&r=5&p=A479
Sao Paulo,Nicolas Almagro,Paul Capdeville,Nicolas Almagro,R16,106,18,48,82,54,37,54,62,,,,,,,68,41,7,65,62,51,17,,66,,,,,,,58,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=533&y=2013&r=4&p=A479
Sao Paulo,Nicolas Almagro,David Nalbandian,David Nalbandian,Q,138,28,57,82,56,20,56,18,,,,,,,71,29,5,65,80,51,17,,25,,,,,,,70,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=533&y=2013&r=5&p=N301
Buenos Aires,Nicolas Almagro,Guido Pella,Nicolas Almagro,R32,59,5,59,78,68,43,68,57,,,,,,,74,49,1,60,56,42,21,,100,,,,,,,50,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=3&p=A479
Acapulco,Nicolas Almagro,Tommy Robredo,Nicolas Almagro,R16,111,4,58,76,57,39,57,27,,,,,,,68,41,2,65,60,53,23,,40,,,,,,,58,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=4&p=A479
Buenos Aires,Nicolas Almagro,Andrey Kuznetsov,Nicolas Almagro,R16,83,4,57,71,67,34,67,25,,,,,,,69,40,4,52,65,52,28,,0,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=4&p=A479
ATP World Tour Masters 1000 Indian Wells,Nicolas Almagro,Tommy Haas,Tommy Haas,R32,155,11,47,72,55,23,55,100,,,,,,,63,31,14,52,76,60,27,,33,,,,,,,68,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=H355
Acapulco,Nicolas Almagro,Horacio Zeballos,Nicolas Almagro,Q,71,10,79,86,70,32,70,28,,,,,,,83,38,5,64,67,50,13,,0,,,,,,,61,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=5&p=A479
Acapulco,Nicolas Almagro,Rafael Nadal,Rafael Nadal,S,109,7,64,72,50,27,50,0,,,,,,,64,34,2,66,72,50,27,,33,,,,,,,65,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=6&p=N409
Acapulco,Nicolas Almagro,Cesar Ramirez,Nicolas Almagro,R32,50,7,51,80,73,57,73,41,,,,,,,76,62,3,81,42,12,20,,0,,,,,,,37,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=3&p=A479
Buenos Aires,Nicolas Almagro,Stan Wawrinka,Stan Wawrinka,S,70,7,65,83,36,22,36,0,,,,,,,67,21,4,76,78,80,16,,66,,,,,,,78,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=6&p=W367
