matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Madrid,Tomas Berdych,Andy Murray,Tomas Berdych,Q,122,2,0,56,68,55,30,55,42,,,,,,,6,3,56,69,44,31,44,22,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=BA47
,ATP World Tour Masters 1000 Rome,Marcel Granollers,Andy Murray,Marcel Granollers,R32,111,1,1,63,60,48,37,48,35,,,,,,,2,1,58,62,34,39,34,57,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=G710
,London / Queen's Club,Andy Murray,Nicolas Mahut,Andy Murray,R32,102,5,1,67,68,66,33,66,28,,,,,,,3,3,67,66,50,32,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=MC10
,London / Queen's Club,Andy Murray,Marinko Matosevic,Andy Murray,R16,57,3,2,71,71,61,42,61,50,,,,,,,2,1,63,57,31,28,31,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=MC10
,London / Queen's Club,Andy Murray,Benjamin Becker,Andy Murray,Q,90,8,0,63,75,45,38,45,50,,,,,,,2,2,80,61,35,24,35,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=MC10
,London / Queen's Club,Andy Murray,Jo-Wilfried Tsonga,Andy Murray,S,109,5,3,60,80,53,32,53,27,,,,,,,10,2,64,67,50,20,50,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=MC10
,London / Queen's Club,Andy Murray,Marin Cilic,Andy Murray,F,153,4,0,61,75,61,19,61,18,,,,,,,4,6,58,80,40,24,40,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=7&p=MC10
,Australian Open Slam,Andy Murray,Robin Haase,Andy Murray,Round of 128,97,4,1,73,72,50,45,50,62,25,20,,,160,131,2,1,49,55,38,28,38,29,18,35,,,184,157,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954148
,Australian Open Slam,Andy Murray,Joao Sousa,Andy Murray,Round of 64,101,14,0,58,80,66,38,66,63,28,22,,,180,136,3,1,62,63,45,20,45,0,17,33,,,183,151,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954224
,Australian Open Slam,Andy Murray,Richard Berankis,Andy Murray,Round of 32,132,13,0,68,71,38,38,38,46,24,27,,,175,136,6,3,57,62,41,29,41,25,37,47,,,186,156,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954312
,Australian Open Slam,Andy Murray,Gilles Simon,Andy Murray,Round of 16,95,12,0,62,77,58,43,58,53,32,26,,,179,136,1,2,67,57,30,23,30,100,21,41,,,160,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954406
,Australian Open Slam,Andy Murray,Jeremy Chardy,Andy Murray,Quarter Final,111,7,1,68,80,29,40,29,73,32,20,,,187,141,6,3,68,60,20,20,20,40,25,30,,,199,164,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954503
,Australian Open Slam,Andy Murray,Roger Federer,Andy Murray,Semi Final,240,21,0,64,75,63,27,63,38,62,47,,,192,140,5,2,61,73,42,25,42,33,43,60,,,186,155,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954602
,Australian Open Slam,Novak Djokovic,Andy Murray,Novak Djokovic,Final,220,8,3,63,75,66,19,66,27,47,61,,,188,155,7,5,60,81,46,25,46,0,29,46,,,186,133,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954701
,Wimbledon Slam,Andy Murray,Benjamin Becker,Andy Murray,Round of 128,113,11,2,57,80,54,38,54,50,38,16,,,188,133,5,1,59,62,44,20,44,20,26,18,,,193,154,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604164
,Wimbledon Slam,Andy Murray,Yen-Hsun Lu,Andy Murray,Round of 64,121,11,1,63,85,67,31,67,27,41,14,,,185,133,1,5,66,69,35,15,35,0,29,27,,,177,154,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604232
,ATP World Tour Masters 1000 Canada,Ernests Gulbis,Andy Murray,Ernests Gulbis,R16,89,7,3,58,74,56,32,56,60,,,,,,,3,3,71,67,33,25,33,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=G858
,ATP World Tour Masters 1000 Cincinnati,Andy Murray,Mikhail Youzhny,Andy Murray,R32,71,1,0,69,71,57,38,57,71,,,,,,,1,7,64,61,25,28,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=MC10
,ATP World Tour Masters 1000 Cincinnati,Andy Murray,Julien Benneteau,Andy Murray,R16,69,7,2,67,75,62,34,62,80,,,,,,,2,5,56,65,31,24,31,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=MC10
,ATP World Tour Masters 1000 Cincinnati,Tomas Berdych,Andy Murray,Tomas Berdych,Q,93,2,1,56,72,65,29,65,33,,,,,,,10,2,54,70,57,27,57,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=BA47
