tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Cincinnati,Jeremy Chardy,Feliciano Lopez,Feliciano Lopez,R32,64,3,65,65,53,28,53,20,,,,,,,61,34,2,47,71,60,34,,33,,,,,,,65,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=L397
ATP World Tour Masters 1000 Shanghai,Jeremy Chardy,Nicolas Almagro,Nicolas Almagro,R32,68,5,54,72,50,9,50,0,,,,,,,62,21,7,74,90,42,27,,40,,,,,,,78,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=A479
Wimbledon Slam,Jeremy Chardy,Ryan Harrison,Jeremy Chardy,Round of 128,170,10,66,85,54,30,54,18,60,30,"
								","
								",164,136,74,35,18,65,70,55,15,,33,43,17,"
                            ","
                            ",157,133,65,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604104
Australian Open Slam,Jeremy Chardy,Andy Murray,Andy Murray,Quarter Final,111,6,68,60,20,20,20,40,25,30,"
                            ","
                            ",199,164,47,36,7,68,80,29,40,80,73,32,20,"
								","
								",187,141,64,53,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954503
Wimbledon Slam,Jeremy Chardy,Jan-Lennard Struff,Jeremy Chardy,Round of 64,181,23,63,79,63,26,63,30,54,23,"
								","
								",,,73,35,12,57,74,53,21,,40,44,36,"
                            ","
                            ",,,65,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604202
ATP World Tour Masters 1000 Shanghai,Jeremy Chardy,Bernard Tomic,Jeremy Chardy,R64,86,11,65,80,37,33,37,100,,,,,,,65,39,7,56,66,52,19,,0,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=CA12
Wimbledon Slam,Jeremy Chardy,Novak Djokovic,Novak Djokovic,Round of 32,86,6,66,54,50,7,50,0,18,14,"
                            ","
                            ",197,170,53,10,8,74,93,80,46,50,31,38,3,"
								","
								",186,162,90,47,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604301
US Open Slam,Jeremy Chardy,Filippo Volandri,Jeremy Chardy,Round of 128,,18,59,87,71,36,71,67,32,21,"
								","
								",197,165,80,40,0,64,64,53,13,,0,20,22,"
                            ","
                            ",167,141,60,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114129
Australian Open Slam,Jeremy Chardy,Marcel Granollers,Jeremy Chardy,Round of 64,136,7,72,80,48,35,48,45,45,40,"
								","
								",197,163,71,40,5,76,65,45,20,,13,18,19,"
                            ","
                            ",175,140,60,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954218
Metz,Jeremy Chardy,Marton Fucsovics,Marton Fucsovics,R32,83,4,48,74,51,31,51,33,,,,,,,62,30,6,62,68,72,25,,50,,,,,,,69,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=341&y=2013&r=3&p=F724
Stuttgart,Jeremy Chardy,Julian Reister,Jeremy Chardy,R32,79,6,59,82,50,37,50,33,,,,,,,69,45,2,59,62,41,17,,0,,,,,,,54,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2012&r=3&p=CA12
Valencia,Jeremy Chardy,John Isner,Jeremy Chardy,R16,82,17,63,90,48,31,48,40,,,,,,,75,30,12,74,68,75,9,,25,,,,,,,69,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=CA12
ATP World Tour Masters 1000 Paris,Jeremy Chardy,Lukas Rosol,Lukas Rosol,R64,81,12,54,69,46,28,46,25,,,,,,,59,35,4,41,71,60,30,,37,,,,,,,64,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=R685
Valencia,Jeremy Chardy,Florian Mayer,Jeremy Chardy,R32,105,8,59,69,65,23,65,60,,,,,,,67,33,8,66,76,46,30,,40,,,,,,,66,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=CA12
Valencia,Jeremy Chardy,Dmitry Tursunov,Dmitry Tursunov,Q,81,11,60,71,33,17,33,0,,,,,,,56,31,6,50,82,52,28,,60,,,,,,,68,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=T315
Brisbane,Jeremy Chardy,Adrian Mannarino,Jeremy Chardy,R32,109,10,65,68,57,42,57,44,,,,,,,64,45,4,61,57,50,32,,42,,,,,,,54,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=3&p=CA12
Brisbane,Jeremy Chardy,Nicolas Mahut,Jeremy Chardy,R16,122,10,52,86,65,26,65,50,,,,,,,76,39,12,51,73,46,13,,66,,,,,,,60,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=CA12
Vina del Mar,Jeremy Chardy,Christian Garin,Jeremy Chardy,R32,74,5,56,73,53,43,53,55,,,,,,,65,51,2,65,56,33,26,,20,,,,,,,48,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=3&p=CA12
